Arne Åmland	Åmland, Arne	http://vocab.getty.edu/ulan/500253146
Šestakov	Šestakov, Viktor Alekseevič	http://vocab.getty.edu/ulan/500087145
Gonca Çirakoglu	Çirakoglu, Gonca	http://vocab.getty.edu/ulan/500288679
Mme Gonca Çirakoglu	Çirakoglu, Gonca	http://vocab.getty.edu/ulan/500288679
G. Çirakoglu	Çirakoglu, Gonca	http://vocab.getty.edu/ulan/500288679
Mme. Çirakoglu	Çirakoglu, Gonca	http://vocab.getty.edu/ulan/500288679
Çirakoglu	Çirakoglu, Gonca	http://vocab.getty.edu/ulan/500288679
G Çirakoglu	Çirakoglu, Gonca	http://vocab.getty.edu/ulan/500288679
Mme Çirakoglu	Çirakoglu, Gonca	http://vocab.getty.edu/ulan/500288679
Mme. Gonca Çirakoglu	Çirakoglu, Gonca	http://vocab.getty.edu/ulan/500288679
Edo Šen	Šen, Edo	http://vocab.getty.edu/ulan/500325841
E. Šen	Šen, Edo	http://vocab.getty.edu/ulan/500325841
M. Edo Šen	Šen, Edo	http://vocab.getty.edu/ulan/500325841
Šen	Šen, Edo	http://vocab.getty.edu/ulan/500325841
M. Šen	Šen, Edo	http://vocab.getty.edu/ulan/500325841
M Edo Šen	Šen, Edo	http://vocab.getty.edu/ulan/500325841
E Šen	Šen, Edo	http://vocab.getty.edu/ulan/500325841
M Šen	Šen, Edo	http://vocab.getty.edu/ulan/500325841
Elena Iakovlevna Šumjackaja	Šumjackaja, Elena Iakovlevna	http://vocab.getty.edu/ulan/500100560
Mme. Šumjackaja	Šumjackaja, Elena Iakovlevna	http://vocab.getty.edu/ulan/500100560
Šumjackaja	Šumjackaja, Elena Iakovlevna	http://vocab.getty.edu/ulan/500100560
Mme. Elena Iakovlevna Šumjackaja	Šumjackaja, Elena Iakovlevna	http://vocab.getty.edu/ulan/500100560
E. I. Šumjackaja	Šumjackaja, Elena Iakovlevna	http://vocab.getty.edu/ulan/500100560
Mme Elena Iakovlevna Šumjackaja	Šumjackaja, Elena Iakovlevna	http://vocab.getty.edu/ulan/500100560
Mme Šumjackaja	Šumjackaja, Elena Iakovlevna	http://vocab.getty.edu/ulan/500100560
E I Šumjackaja	Šumjackaja, Elena Iakovlevna	http://vocab.getty.edu/ulan/500100560
Václav Šerák	Šerák, Václav	http://vocab.getty.edu/ulan/500105451
M Šerák	Šerák, Václav	http://vocab.getty.edu/ulan/500105451
M. Václav Šerák	Šerák, Václav	http://vocab.getty.edu/ulan/500105451
V Šerák	Šerák, Václav	http://vocab.getty.edu/ulan/500105451
M Václav Šerák	Šerák, Václav	http://vocab.getty.edu/ulan/500105451
V. Šerák	Šerák, Václav	http://vocab.getty.edu/ulan/500105451
Šerák	Šerák, Václav	http://vocab.getty.edu/ulan/500105451
M. Šerák	Šerák, Václav	http://vocab.getty.edu/ulan/500105451
Serak, Vaclav	Šerák, Václav	http://vocab.getty.edu/ulan/500105451
Sigurjón Ólafsson	Ólafsson, Sigurjón	http://vocab.getty.edu/ulan/500121990	http://id.loc.gov/authorities/names/n85341830
S. Ólafsson	Ólafsson, Sigurjón	http://vocab.getty.edu/ulan/500121990	http://id.loc.gov/authorities/names/n85341830
Ólafsson	Ólafsson, Sigurjón	http://vocab.getty.edu/ulan/500121990	http://id.loc.gov/authorities/names/n85341830
S Ólafsson	Ólafsson, Sigurjón	http://vocab.getty.edu/ulan/500121990	http://id.loc.gov/authorities/names/n85341830
M Ólafsson	Ólafsson, Sigurjón	http://vocab.getty.edu/ulan/500121990	http://id.loc.gov/authorities/names/n85341830
M. Ólafsson	Ólafsson, Sigurjón	http://vocab.getty.edu/ulan/500121990	http://id.loc.gov/authorities/names/n85341830
M Sigurjón Ólafsson	Ólafsson, Sigurjón	http://vocab.getty.edu/ulan/500121990	http://id.loc.gov/authorities/names/n85341830
M. Sigurjón Ólafsson	Ólafsson, Sigurjón	http://vocab.getty.edu/ulan/500121990	http://id.loc.gov/authorities/names/n85341830
Willy Ørskov	Ørskov, Willy	http://vocab.getty.edu/ulan/500057825	http://id.loc.gov/authorities/names/n83000602
W Ørskov	Ørskov, Willy	http://vocab.getty.edu/ulan/500057825	http://id.loc.gov/authorities/names/n83000602
M Willy Ørskov	Ørskov, Willy	http://vocab.getty.edu/ulan/500057825	http://id.loc.gov/authorities/names/n83000602
W. Ørskov	Ørskov, Willy	http://vocab.getty.edu/ulan/500057825	http://id.loc.gov/authorities/names/n83000602
M. Ørskov	Ørskov, Willy	http://vocab.getty.edu/ulan/500057825	http://id.loc.gov/authorities/names/n83000602
Ørskov	Ørskov, Willy	http://vocab.getty.edu/ulan/500057825	http://id.loc.gov/authorities/names/n83000602
M. Willy Ørskov	Ørskov, Willy	http://vocab.getty.edu/ulan/500057825	http://id.loc.gov/authorities/names/n83000602
M Ørskov	Ørskov, Willy	http://vocab.getty.edu/ulan/500057825	http://id.loc.gov/authorities/names/n83000602
Örskov, Willy	Ørskov, Willy	http://vocab.getty.edu/ulan/500057825	http://id.loc.gov/authorities/names/n83000602
Anne Ørum-Nielsen	Ørum Nielsen, Anne	http://vocab.getty.edu/ulan/500232467
Mme. Anne Ørum Nielsen	Ørum Nielsen, Anne	http://vocab.getty.edu/ulan/500232467
Mme Anne Ørum Nielsen	Ørum Nielsen, Anne	http://vocab.getty.edu/ulan/500232467
A Ørum Nielsen	Ørum Nielsen, Anne	http://vocab.getty.edu/ulan/500232467
Mme Ørum Nielsen	Ørum Nielsen, Anne	http://vocab.getty.edu/ulan/500232467
Anne Ørum Nielsen	Ørum Nielsen, Anne	http://vocab.getty.edu/ulan/500232467
Mme. Ørum Nielsen	Ørum Nielsen, Anne	http://vocab.getty.edu/ulan/500232467
A. Ørum Nielsen	Ørum Nielsen, Anne	http://vocab.getty.edu/ulan/500232467
Ørum Nielsen	Ørum Nielsen, Anne	http://vocab.getty.edu/ulan/500232467
Birgit Skovfoged Østergaard	Østergaard, Birgit Skovfoged	http://vocab.getty.edu/ulan/500218447
B. S. Østergaard	Østergaard, Birgit Skovfoged	http://vocab.getty.edu/ulan/500218447
Østergaard	Østergaard, Birgit Skovfoged	http://vocab.getty.edu/ulan/500218447
B S Østergaard	Østergaard, Birgit Skovfoged	http://vocab.getty.edu/ulan/500218447
Mme. Birgit Skovfoged Østergaard	Østergaard, Birgit Skovfoged	http://vocab.getty.edu/ulan/500218447
Mme. Østergaard	Østergaard, Birgit Skovfoged	http://vocab.getty.edu/ulan/500218447
Mme Østergaard	Østergaard, Birgit Skovfoged	http://vocab.getty.edu/ulan/500218447
Mme Birgit Skovfoged Østergaard	Østergaard, Birgit Skovfoged	http://vocab.getty.edu/ulan/500218447
Ostergaard, Birgit Skovfoged	Østergaard, Birgit Skovfoged	http://vocab.getty.edu/ulan/500218447
Jørn Ørum-Nielsen	Ørum Nielsen, Jørn	http://vocab.getty.edu/ulan/500232464	http://id.loc.gov/authorities/names/nr97001660
M Ørum Nielsen	Ørum Nielsen, Jørn	http://vocab.getty.edu/ulan/500232464	http://id.loc.gov/authorities/names/nr97001660
J Ørum Nielsen	Ørum Nielsen, Jørn	http://vocab.getty.edu/ulan/500232464	http://id.loc.gov/authorities/names/nr97001660
M. Jørn Ørum Nielsen	Ørum Nielsen, Jørn	http://vocab.getty.edu/ulan/500232464	http://id.loc.gov/authorities/names/nr97001660
J. Ørum Nielsen	Ørum Nielsen, Jørn	http://vocab.getty.edu/ulan/500232464	http://id.loc.gov/authorities/names/nr97001660
M. Ørum Nielsen	Ørum Nielsen, Jørn	http://vocab.getty.edu/ulan/500232464	http://id.loc.gov/authorities/names/nr97001660
M Jørn Ørum Nielsen	Ørum Nielsen, Jørn	http://vocab.getty.edu/ulan/500232464	http://id.loc.gov/authorities/names/nr97001660
Jørn Ørum Nielsen	Ørum Nielsen, Jørn	http://vocab.getty.edu/ulan/500232464	http://id.loc.gov/authorities/names/nr97001660
Ørum Nielsen	Ørum Nielsen, Jørn	http://vocab.getty.edu/ulan/500232464	http://id.loc.gov/authorities/names/nr97001660
Vladimir Šubic	Šubic, Vladimir	http://vocab.getty.edu/ulan/500115038	http://id.loc.gov/authorities/names/no2006077006
M. Vladimir Šubic	Šubic, Vladimir	http://vocab.getty.edu/ulan/500115038	http://id.loc.gov/authorities/names/no2006077006
M Vladimir Šubic	Šubic, Vladimir	http://vocab.getty.edu/ulan/500115038	http://id.loc.gov/authorities/names/no2006077006
V. Šubic	Šubic, Vladimir	http://vocab.getty.edu/ulan/500115038	http://id.loc.gov/authorities/names/no2006077006
Šubic	Šubic, Vladimir	http://vocab.getty.edu/ulan/500115038	http://id.loc.gov/authorities/names/no2006077006
V Šubic	Šubic, Vladimir	http://vocab.getty.edu/ulan/500115038	http://id.loc.gov/authorities/names/no2006077006
M. Šubic	Šubic, Vladimir	http://vocab.getty.edu/ulan/500115038	http://id.loc.gov/authorities/names/no2006077006
M Šubic	Šubic, Vladimir	http://vocab.getty.edu/ulan/500115038	http://id.loc.gov/authorities/names/no2006077006
Šubič, Vladimir	Šubic, Vladimir	http://vocab.getty.edu/ulan/500115038	http://id.loc.gov/authorities/names/no2006077006
Gordana Žaja	Žaja, Gordana	http://vocab.getty.edu/ulan/500283683
M. Gordana Žaja	Žaja, Gordana	http://vocab.getty.edu/ulan/500283683
M Žaja	Žaja, Gordana	http://vocab.getty.edu/ulan/500283683
G Žaja	Žaja, Gordana	http://vocab.getty.edu/ulan/500283683
M. Žaja	Žaja, Gordana	http://vocab.getty.edu/ulan/500283683
M Gordana Žaja	Žaja, Gordana	http://vocab.getty.edu/ulan/500283683
G. Žaja	Žaja, Gordana	http://vocab.getty.edu/ulan/500283683
Žaja	Žaja, Gordana	http://vocab.getty.edu/ulan/500283683
Zaja, Gordana	Žaja, Gordana	http://vocab.getty.edu/ulan/500283683
Stefan Šubic	Šubic, Stefan	http://vocab.getty.edu/ulan/500115037
Šubic	Šubic, Stefan	http://vocab.getty.edu/ulan/500115037
S. Šubic	Šubic, Stefan	http://vocab.getty.edu/ulan/500115037
S Šubic	Šubic, Stefan	http://vocab.getty.edu/ulan/500115037
M. Šubic	Šubic, Stefan	http://vocab.getty.edu/ulan/500115037
M Šubic	Šubic, Stefan	http://vocab.getty.edu/ulan/500115037
M Stefan Šubic	Šubic, Stefan	http://vocab.getty.edu/ulan/500115037
M. Stefan Šubic	Šubic, Stefan	http://vocab.getty.edu/ulan/500115037
Andraž Šalamun	Šalamun, Andraž	http://vocab.getty.edu/ulan/500092663	http://id.loc.gov/authorities/names/no92021922
A. Šalamun	Šalamun, Andraž	http://vocab.getty.edu/ulan/500092663	http://id.loc.gov/authorities/names/no92021922
A Šalamun	Šalamun, Andraž	http://vocab.getty.edu/ulan/500092663	http://id.loc.gov/authorities/names/no92021922
M. Andraž Šalamun	Šalamun, Andraž	http://vocab.getty.edu/ulan/500092663	http://id.loc.gov/authorities/names/no92021922
Šalamun	Šalamun, Andraž	http://vocab.getty.edu/ulan/500092663	http://id.loc.gov/authorities/names/no92021922
M. Šalamun	Šalamun, Andraž	http://vocab.getty.edu/ulan/500092663	http://id.loc.gov/authorities/names/no92021922
M Andraž Šalamun	Šalamun, Andraž	http://vocab.getty.edu/ulan/500092663	http://id.loc.gov/authorities/names/no92021922
M Šalamun	Šalamun, Andraž	http://vocab.getty.edu/ulan/500092663	http://id.loc.gov/authorities/names/no92021922
Šarūnas Šauka	Šauka, Šarūnas	http://vocab.getty.edu/ulan/500121217
M Šarūnas Šauka	Šauka, Šarūnas	http://vocab.getty.edu/ulan/500121217
Š. Šauka	Šauka, Šarūnas	http://vocab.getty.edu/ulan/500121217
Š Šauka	Šauka, Šarūnas	http://vocab.getty.edu/ulan/500121217
Šauka	Šauka, Šarūnas	http://vocab.getty.edu/ulan/500121217
M. Šarūnas Šauka	Šauka, Šarūnas	http://vocab.getty.edu/ulan/500121217
M Šauka	Šauka, Šarūnas	http://vocab.getty.edu/ulan/500121217
M. Šauka	Šauka, Šarūnas	http://vocab.getty.edu/ulan/500121217
Ojārs Ābols	Ābols, Ojārs	http://vocab.getty.edu/ulan/500121462	http://id.loc.gov/authorities/names/n2007043782
O Ābols	Ābols, Ojārs	http://vocab.getty.edu/ulan/500121462	http://id.loc.gov/authorities/names/n2007043782
M Ābols	Ābols, Ojārs	http://vocab.getty.edu/ulan/500121462	http://id.loc.gov/authorities/names/n2007043782
M. Ojārs Ābols	Ābols, Ojārs	http://vocab.getty.edu/ulan/500121462	http://id.loc.gov/authorities/names/n2007043782
Ābols	Ābols, Ojārs	http://vocab.getty.edu/ulan/500121462	http://id.loc.gov/authorities/names/n2007043782
M Ojārs Ābols	Ābols, Ojārs	http://vocab.getty.edu/ulan/500121462	http://id.loc.gov/authorities/names/n2007043782
M. Ābols	Ābols, Ojārs	http://vocab.getty.edu/ulan/500121462	http://id.loc.gov/authorities/names/n2007043782
O. Ābols	Ābols, Ojārs	http://vocab.getty.edu/ulan/500121462	http://id.loc.gov/authorities/names/n2007043782
Vaidas Žukas	Žukas, Vaidas	http://vocab.getty.edu/ulan/500121216
M. Vaidas Žukas	Žukas, Vaidas	http://vocab.getty.edu/ulan/500121216
Žukas	Žukas, Vaidas	http://vocab.getty.edu/ulan/500121216
M. Žukas	Žukas, Vaidas	http://vocab.getty.edu/ulan/500121216
M Žukas	Žukas, Vaidas	http://vocab.getty.edu/ulan/500121216
V Žukas	Žukas, Vaidas	http://vocab.getty.edu/ulan/500121216
V. Žukas	Žukas, Vaidas	http://vocab.getty.edu/ulan/500121216
M Vaidas Žukas	Žukas, Vaidas	http://vocab.getty.edu/ulan/500121216
Karel Štika	Štika, Karel	http://vocab.getty.edu/ulan/500058004	http://id.loc.gov/authorities/names/no2012068793
K. Štika	Štika, Karel	http://vocab.getty.edu/ulan/500058004	http://id.loc.gov/authorities/names/no2012068793
Štika	Štika, Karel	http://vocab.getty.edu/ulan/500058004	http://id.loc.gov/authorities/names/no2012068793
M Karel Štika	Štika, Karel	http://vocab.getty.edu/ulan/500058004	http://id.loc.gov/authorities/names/no2012068793
K Štika	Štika, Karel	http://vocab.getty.edu/ulan/500058004	http://id.loc.gov/authorities/names/no2012068793
M. Karel Štika	Štika, Karel	http://vocab.getty.edu/ulan/500058004	http://id.loc.gov/authorities/names/no2012068793
M. Štika	Štika, Karel	http://vocab.getty.edu/ulan/500058004	http://id.loc.gov/authorities/names/no2012068793
M Štika	Štika, Karel	http://vocab.getty.edu/ulan/500058004	http://id.loc.gov/authorities/names/no2012068793
Rimantas Šlizys	Šlizys, Rimantas	http://vocab.getty.edu/ulan/500121218
M. Šlizys	Šlizys, Rimantas	http://vocab.getty.edu/ulan/500121218
M. Rimantas Šlizys	Šlizys, Rimantas	http://vocab.getty.edu/ulan/500121218
M Šlizys	Šlizys, Rimantas	http://vocab.getty.edu/ulan/500121218
R. Šlizys	Šlizys, Rimantas	http://vocab.getty.edu/ulan/500121218
Šlizys	Šlizys, Rimantas	http://vocab.getty.edu/ulan/500121218
R Šlizys	Šlizys, Rimantas	http://vocab.getty.edu/ulan/500121218
M Rimantas Šlizys	Šlizys, Rimantas	http://vocab.getty.edu/ulan/500121218
Georgs Šēnbergs	Šēnbergs, Georgs	http://vocab.getty.edu/ulan/500121466
M. Šēnbergs	Šēnbergs, Georgs	http://vocab.getty.edu/ulan/500121466
M Šēnbergs	Šēnbergs, Georgs	http://vocab.getty.edu/ulan/500121466
M Georgs Šēnbergs	Šēnbergs, Georgs	http://vocab.getty.edu/ulan/500121466
G Šēnbergs	Šēnbergs, Georgs	http://vocab.getty.edu/ulan/500121466
G. Šēnbergs	Šēnbergs, Georgs	http://vocab.getty.edu/ulan/500121466
Šēnbergs	Šēnbergs, Georgs	http://vocab.getty.edu/ulan/500121466
M. Georgs Šēnbergs	Šēnbergs, Georgs	http://vocab.getty.edu/ulan/500121466
Marjeta Černe	Černe, Marjeta	http://vocab.getty.edu/ulan/500276996
Mme Černe	Černe, Marjeta	http://vocab.getty.edu/ulan/500276996
Mme. Marjeta Černe	Černe, Marjeta	http://vocab.getty.edu/ulan/500276996
Černe	Černe, Marjeta	http://vocab.getty.edu/ulan/500276996
Mme Marjeta Černe	Černe, Marjeta	http://vocab.getty.edu/ulan/500276996
Mme. Černe	Černe, Marjeta	http://vocab.getty.edu/ulan/500276996
M. Černe	Černe, Marjeta	http://vocab.getty.edu/ulan/500276996
M Černe	Černe, Marjeta	http://vocab.getty.edu/ulan/500276996
Jan Šépka	Šépka, Jan	http://vocab.getty.edu/ulan/500274930
M. Šépka	Šépka, Jan	http://vocab.getty.edu/ulan/500274930
M. Jan Šépka	Šépka, Jan	http://vocab.getty.edu/ulan/500274930
M Šépka	Šépka, Jan	http://vocab.getty.edu/ulan/500274930
J Šépka	Šépka, Jan	http://vocab.getty.edu/ulan/500274930
M Jan Šépka	Šépka, Jan	http://vocab.getty.edu/ulan/500274930
Šépka	Šépka, Jan	http://vocab.getty.edu/ulan/500274930
J. Šépka	Šépka, Jan	http://vocab.getty.edu/ulan/500274930
Sepka, Jan	Šépka, Jan	http://vocab.getty.edu/ulan/500274930
Johan Østengen	Østengen, Johan	http://vocab.getty.edu/ulan/500217603
J Østengen	Østengen, Johan	http://vocab.getty.edu/ulan/500217603
M Johan Østengen	Østengen, Johan	http://vocab.getty.edu/ulan/500217603
Østengen	Østengen, Johan	http://vocab.getty.edu/ulan/500217603
M Østengen	Østengen, Johan	http://vocab.getty.edu/ulan/500217603
M. Johan Østengen	Østengen, Johan	http://vocab.getty.edu/ulan/500217603
M. Østengen	Østengen, Johan	http://vocab.getty.edu/ulan/500217603
J. Østengen	Østengen, Johan	http://vocab.getty.edu/ulan/500217603
Ostengen, Johan	Østengen, Johan	http://vocab.getty.edu/ulan/500217603
Tugo Šušnik	Šušnik, Tugo	http://vocab.getty.edu/ulan/500068764	http://id.loc.gov/authorities/names/no97068921
Šušnik	Šušnik, Tugo	http://vocab.getty.edu/ulan/500068764	http://id.loc.gov/authorities/names/no97068921
M Šušnik	Šušnik, Tugo	http://vocab.getty.edu/ulan/500068764	http://id.loc.gov/authorities/names/no97068921
M. Tugo Šušnik	Šušnik, Tugo	http://vocab.getty.edu/ulan/500068764	http://id.loc.gov/authorities/names/no97068921
M Tugo Šušnik	Šušnik, Tugo	http://vocab.getty.edu/ulan/500068764	http://id.loc.gov/authorities/names/no97068921
T Šušnik	Šušnik, Tugo	http://vocab.getty.edu/ulan/500068764	http://id.loc.gov/authorities/names/no97068921
T. Šušnik	Šušnik, Tugo	http://vocab.getty.edu/ulan/500068764	http://id.loc.gov/authorities/names/no97068921
M. Šušnik	Šušnik, Tugo	http://vocab.getty.edu/ulan/500068764	http://id.loc.gov/authorities/names/no97068921
Susnik, Tugomir	Šušnik, Tugo	http://vocab.getty.edu/ulan/500068764	http://id.loc.gov/authorities/names/no97068921
Susnik, Tugo	Šušnik, Tugo	http://vocab.getty.edu/ulan/500068764	http://id.loc.gov/authorities/names/no97068921
Lorenzo de Ávila	Ávila, Lorenzo de	http://vocab.getty.edu/ulan/500027569
L de Ávila	Ávila, Lorenzo de	http://vocab.getty.edu/ulan/500027569
M de Ávila	Ávila, Lorenzo de	http://vocab.getty.edu/ulan/500027569
M. Lorenzo de Ávila	Ávila, Lorenzo de	http://vocab.getty.edu/ulan/500027569
M. Ávila	Ávila, Lorenzo de	http://vocab.getty.edu/ulan/500027569
L De Ávila	Ávila, Lorenzo de	http://vocab.getty.edu/ulan/500027569
L. Ávila	Ávila, Lorenzo de	http://vocab.getty.edu/ulan/500027569
Ávila	Ávila, Lorenzo de	http://vocab.getty.edu/ulan/500027569
M Lorenzo de Ávila	Ávila, Lorenzo de	http://vocab.getty.edu/ulan/500027569
de Ávila	Ávila, Lorenzo de	http://vocab.getty.edu/ulan/500027569
De Ávila	Ávila, Lorenzo de	http://vocab.getty.edu/ulan/500027569
L. De Ávila	Ávila, Lorenzo de	http://vocab.getty.edu/ulan/500027569
M. De Ávila	Ávila, Lorenzo de	http://vocab.getty.edu/ulan/500027569
L. de Ávila	Ávila, Lorenzo de	http://vocab.getty.edu/ulan/500027569
L Ávila	Ávila, Lorenzo de	http://vocab.getty.edu/ulan/500027569
M. de Ávila	Ávila, Lorenzo de	http://vocab.getty.edu/ulan/500027569
M Ávila	Ávila, Lorenzo de	http://vocab.getty.edu/ulan/500027569
M De Ávila	Ávila, Lorenzo de	http://vocab.getty.edu/ulan/500027569
Avila, Lorenzo de	Ávila, Lorenzo de	http://vocab.getty.edu/ulan/500027569
Dávila, Lorençio	Ávila, Lorenzo de	http://vocab.getty.edu/ulan/500027569
Lorenzo de Avila	Ávila, Lorenzo de	http://vocab.getty.edu/ulan/500027569
Lorenzo De Avila	Ávila, Lorenzo de	http://vocab.getty.edu/ulan/500027569
Josip Šarinić	Šarinić, Josip	http://vocab.getty.edu/ulan/500283684
M. Šarinić	Šarinić, Josip	http://vocab.getty.edu/ulan/500283684
J. Šarinić	Šarinić, Josip	http://vocab.getty.edu/ulan/500283684
M. Josip Šarinić	Šarinić, Josip	http://vocab.getty.edu/ulan/500283684
J Šarinić	Šarinić, Josip	http://vocab.getty.edu/ulan/500283684
M Josip Šarinić	Šarinić, Josip	http://vocab.getty.edu/ulan/500283684
M Šarinić	Šarinić, Josip	http://vocab.getty.edu/ulan/500283684
Šarinić	Šarinić, Josip	http://vocab.getty.edu/ulan/500283684
Otakar Španiel	Španiel, Otakar	http://vocab.getty.edu/ulan/500195956	http://id.loc.gov/authorities/names/n83142005
M. Otakar Španiel	Španiel, Otakar	http://vocab.getty.edu/ulan/500195956	http://id.loc.gov/authorities/names/n83142005
M. Španiel	Španiel, Otakar	http://vocab.getty.edu/ulan/500195956	http://id.loc.gov/authorities/names/n83142005
M Otakar Španiel	Španiel, Otakar	http://vocab.getty.edu/ulan/500195956	http://id.loc.gov/authorities/names/n83142005
O. Španiel	Španiel, Otakar	http://vocab.getty.edu/ulan/500195956	http://id.loc.gov/authorities/names/n83142005
O Španiel	Španiel, Otakar	http://vocab.getty.edu/ulan/500195956	http://id.loc.gov/authorities/names/n83142005
M Španiel	Španiel, Otakar	http://vocab.getty.edu/ulan/500195956	http://id.loc.gov/authorities/names/n83142005
Španiel	Španiel, Otakar	http://vocab.getty.edu/ulan/500195956	http://id.loc.gov/authorities/names/n83142005
Spaniel, Otakar	Španiel, Otakar	http://vocab.getty.edu/ulan/500195956	http://id.loc.gov/authorities/names/n83142005
Otakar Spaniel	Španiel, Otakar	http://vocab.getty.edu/ulan/500195956	http://id.loc.gov/authorities/names/n83142005
Rafael Álvarez	Álvarez, Rafael	http://vocab.getty.edu/ulan/500290459
M. Álvarez	Álvarez, Rafael	http://vocab.getty.edu/ulan/500290459
M Álvarez	Álvarez, Rafael	http://vocab.getty.edu/ulan/500290459
Álvarez	Álvarez, Rafael	http://vocab.getty.edu/ulan/500290459
R. Álvarez	Álvarez, Rafael	http://vocab.getty.edu/ulan/500290459
M. Rafael Álvarez	Álvarez, Rafael	http://vocab.getty.edu/ulan/500290459
R Álvarez	Álvarez, Rafael	http://vocab.getty.edu/ulan/500290459
M Rafael Álvarez	Álvarez, Rafael	http://vocab.getty.edu/ulan/500290459
Yukio Ōyama	Ōyama, Yukio	http://vocab.getty.edu/ulan/500338954	http://id.loc.gov/authorities/names/n85124543
M. Ōyama	Ōyama, Yukio	http://vocab.getty.edu/ulan/500338954	http://id.loc.gov/authorities/names/n85124543
Y Ōyama	Ōyama, Yukio	http://vocab.getty.edu/ulan/500338954	http://id.loc.gov/authorities/names/n85124543
M. Yukio Ōyama	Ōyama, Yukio	http://vocab.getty.edu/ulan/500338954	http://id.loc.gov/authorities/names/n85124543
Ōyama	Ōyama, Yukio	http://vocab.getty.edu/ulan/500338954	http://id.loc.gov/authorities/names/n85124543
M Ōyama	Ōyama, Yukio	http://vocab.getty.edu/ulan/500338954	http://id.loc.gov/authorities/names/n85124543
Y. Ōyama	Ōyama, Yukio	http://vocab.getty.edu/ulan/500338954	http://id.loc.gov/authorities/names/n85124543
M Yukio Ōyama	Ōyama, Yukio	http://vocab.getty.edu/ulan/500338954	http://id.loc.gov/authorities/names/n85124543
Ohyama, Yukio	Ōyama, Yukio	http://vocab.getty.edu/ulan/500338954	http://id.loc.gov/authorities/names/n85124543
大山行男	Ōyama, Yukio	http://vocab.getty.edu/ulan/500338954	http://id.loc.gov/authorities/names/n85124543
Francisc Şirato	Şirato, Francisc	http://vocab.getty.edu/ulan/500104757	http://id.loc.gov/authorities/names/n83224738
F Şirato	Şirato, Francisc	http://vocab.getty.edu/ulan/500104757	http://id.loc.gov/authorities/names/n83224738
M Francisc Şirato	Şirato, Francisc	http://vocab.getty.edu/ulan/500104757	http://id.loc.gov/authorities/names/n83224738
M. Şirato	Şirato, Francisc	http://vocab.getty.edu/ulan/500104757	http://id.loc.gov/authorities/names/n83224738
Şirato	Şirato, Francisc	http://vocab.getty.edu/ulan/500104757	http://id.loc.gov/authorities/names/n83224738
F. Şirato	Şirato, Francisc	http://vocab.getty.edu/ulan/500104757	http://id.loc.gov/authorities/names/n83224738
M. Francisc Şirato	Şirato, Francisc	http://vocab.getty.edu/ulan/500104757	http://id.loc.gov/authorities/names/n83224738
M Şirato	Şirato, Francisc	http://vocab.getty.edu/ulan/500104757	http://id.loc.gov/authorities/names/n83224738
Sirato, Francisc	Şirato, Francisc	http://vocab.getty.edu/ulan/500104757	http://id.loc.gov/authorities/names/n83224738
Francisc Sirato	Şirato, Francisc	http://vocab.getty.edu/ulan/500104757	http://id.loc.gov/authorities/names/n83224738
Eivind Øyen	Øyen, Eivind	http://vocab.getty.edu/ulan/500247694
E Øyen	Øyen, Eivind	http://vocab.getty.edu/ulan/500247694
M. Eivind Øyen	Øyen, Eivind	http://vocab.getty.edu/ulan/500247694
Øyen	Øyen, Eivind	http://vocab.getty.edu/ulan/500247694
E. Øyen	Øyen, Eivind	http://vocab.getty.edu/ulan/500247694
M Øyen	Øyen, Eivind	http://vocab.getty.edu/ulan/500247694
M. Øyen	Øyen, Eivind	http://vocab.getty.edu/ulan/500247694
M Eivind Øyen	Øyen, Eivind	http://vocab.getty.edu/ulan/500247694
Oyen, Eivind	Øyen, Eivind	http://vocab.getty.edu/ulan/500247694
Franciszek Żmurko	Żmurko, Franciszek	http://vocab.getty.edu/ulan/500112570
M. Franciszek Żmurko	Żmurko, Franciszek	http://vocab.getty.edu/ulan/500112570
M Franciszek Żmurko	Żmurko, Franciszek	http://vocab.getty.edu/ulan/500112570
F. Żmurko	Żmurko, Franciszek	http://vocab.getty.edu/ulan/500112570
Żmurko	Żmurko, Franciszek	http://vocab.getty.edu/ulan/500112570
M Żmurko	Żmurko, Franciszek	http://vocab.getty.edu/ulan/500112570
M. Żmurko	Żmurko, Franciszek	http://vocab.getty.edu/ulan/500112570
F Żmurko	Żmurko, Franciszek	http://vocab.getty.edu/ulan/500112570
Zmurko, Franciszek	Żmurko, Franciszek	http://vocab.getty.edu/ulan/500112570
Zmurko, François	Żmurko, Franciszek	http://vocab.getty.edu/ulan/500112570
Franciszek Zmurko	Żmurko, Franciszek	http://vocab.getty.edu/ulan/500112570
Ivan Štraus	Štraus, Ivan	http://vocab.getty.edu/ulan/500248750	http://id.loc.gov/authorities/names/n92038806
I. Štraus	Štraus, Ivan	http://vocab.getty.edu/ulan/500248750	http://id.loc.gov/authorities/names/n92038806
M Ivan Štraus	Štraus, Ivan	http://vocab.getty.edu/ulan/500248750	http://id.loc.gov/authorities/names/n92038806
I Štraus	Štraus, Ivan	http://vocab.getty.edu/ulan/500248750	http://id.loc.gov/authorities/names/n92038806
M. Ivan Štraus	Štraus, Ivan	http://vocab.getty.edu/ulan/500248750	http://id.loc.gov/authorities/names/n92038806
