Barbara Karinska	Karinska, Barbara (1886-1983)	http://data.bnf.fr/ark:/12148/cb148494931#foaf:Person
Khnopff	Khnopff, Fernand (1858-1921)	http://data.bnf.fr/ark:/12148/cb11939256t#foaf:Person	http://www.idref.fr/027326004	http://dbpedia.org/resource/Fernand_Khnopff
F Khnopff	Khnopff, Fernand (1858-1921)	http://data.bnf.fr/ark:/12148/cb11939256t#foaf:Person	http://www.idref.fr/027326004	http://dbpedia.org/resource/Fernand_Khnopff
F. Khnopff	Khnopff, Fernand (1858-1921)	http://data.bnf.fr/ark:/12148/cb11939256t#foaf:Person	http://www.idref.fr/027326004	http://dbpedia.org/resource/Fernand_Khnopff
M Khnopff	Khnopff, Fernand (1858-1921)	http://data.bnf.fr/ark:/12148/cb11939256t#foaf:Person	http://www.idref.fr/027326004	http://dbpedia.org/resource/Fernand_Khnopff
M Fernand Khnopff	Khnopff, Fernand (1858-1921)	http://data.bnf.fr/ark:/12148/cb11939256t#foaf:Person	http://www.idref.fr/027326004	http://dbpedia.org/resource/Fernand_Khnopff
M. Khnopff	Khnopff, Fernand (1858-1921)	http://data.bnf.fr/ark:/12148/cb11939256t#foaf:Person	http://www.idref.fr/027326004	http://dbpedia.org/resource/Fernand_Khnopff
M. Fernand Khnopff	Khnopff, Fernand (1858-1921)	http://data.bnf.fr/ark:/12148/cb11939256t#foaf:Person	http://www.idref.fr/027326004	http://dbpedia.org/resource/Fernand_Khnopff
Johannes Fridericus König	König, Johann Friedrich (1619-1664)	http://data.bnf.fr/ark:/12148/cb10725945f#foaf:Person	http://www.idref.fr/111544955
Johann Friedrich König	König, Johann Friedrich (1619-1664)	http://data.bnf.fr/ark:/12148/cb10725945f#foaf:Person	http://www.idref.fr/111544955
König	König, Johann Friedrich (1619-1664)	http://data.bnf.fr/ark:/12148/cb10725945f#foaf:Person	http://www.idref.fr/111544955
J F König	König, Johann Friedrich (1619-1664)	http://data.bnf.fr/ark:/12148/cb10725945f#foaf:Person	http://www.idref.fr/111544955
J. F. König	König, Johann Friedrich (1619-1664)	http://data.bnf.fr/ark:/12148/cb10725945f#foaf:Person	http://www.idref.fr/111544955
M König	König, Johann Friedrich (1619-1664)	http://data.bnf.fr/ark:/12148/cb10725945f#foaf:Person	http://www.idref.fr/111544955
M Johann Friedrich König	König, Johann Friedrich (1619-1664)	http://data.bnf.fr/ark:/12148/cb10725945f#foaf:Person	http://www.idref.fr/111544955
M. König	König, Johann Friedrich (1619-1664)	http://data.bnf.fr/ark:/12148/cb10725945f#foaf:Person	http://www.idref.fr/111544955
M. Johann Friedrich König	König, Johann Friedrich (1619-1664)	http://data.bnf.fr/ark:/12148/cb10725945f#foaf:Person	http://www.idref.fr/111544955
Juljusz Kaden-Bandrowski	Kaden Bandrowski, Juliusz (1885-1944)	http://data.bnf.fr/ark:/12148/cb12107208m#foaf:Person	http://www.idref.fr/029446600
Juliusz Kaden Bandrowski	Kaden Bandrowski, Juliusz (1885-1944)	http://data.bnf.fr/ark:/12148/cb12107208m#foaf:Person	http://www.idref.fr/029446600
Kaden Bandrowski	Kaden Bandrowski, Juliusz (1885-1944)	http://data.bnf.fr/ark:/12148/cb12107208m#foaf:Person	http://www.idref.fr/029446600
J Kaden Bandrowski	Kaden Bandrowski, Juliusz (1885-1944)	http://data.bnf.fr/ark:/12148/cb12107208m#foaf:Person	http://www.idref.fr/029446600
J. Kaden Bandrowski	Kaden Bandrowski, Juliusz (1885-1944)	http://data.bnf.fr/ark:/12148/cb12107208m#foaf:Person	http://www.idref.fr/029446600
M Kaden Bandrowski	Kaden Bandrowski, Juliusz (1885-1944)	http://data.bnf.fr/ark:/12148/cb12107208m#foaf:Person	http://www.idref.fr/029446600
M Juliusz Kaden Bandrowski	Kaden Bandrowski, Juliusz (1885-1944)	http://data.bnf.fr/ark:/12148/cb12107208m#foaf:Person	http://www.idref.fr/029446600
M. Kaden Bandrowski	Kaden Bandrowski, Juliusz (1885-1944)	http://data.bnf.fr/ark:/12148/cb12107208m#foaf:Person	http://www.idref.fr/029446600
M. Juliusz Kaden Bandrowski	Kaden Bandrowski, Juliusz (1885-1944)	http://data.bnf.fr/ark:/12148/cb12107208m#foaf:Person	http://www.idref.fr/029446600
Juliusz Kaden- Bandrowski	Kaden Bandrowski, Juliusz (1885-1944)	http://data.bnf.fr/ark:/12148/cb12107208m#foaf:Person	http://www.idref.fr/029446600
Juljusz Kaden- Bandrowski	Kaden Bandrowski, Juliusz (1885-1944)	http://data.bnf.fr/ark:/12148/cb12107208m#foaf:Person	http://www.idref.fr/029446600
Juljusz Kaden	Kaden Bandrowski, Juliusz (1885-1944)	http://data.bnf.fr/ark:/12148/cb12107208m#foaf:Person	http://www.idref.fr/029446600
Juliusz Kaden	Kaden Bandrowski, Juliusz (1885-1944)	http://data.bnf.fr/ark:/12148/cb12107208m#foaf:Person	http://www.idref.fr/029446600
Karl Theodor Körner	Körner, Theodor (1791-1813)	http://data.bnf.fr/ark:/12148/cb12125148h#foaf:Person	http://www.idref.fr/029679036	http://www.idref.fr/034521798
Theodor Körner	Körner, Theodor (1791-1813)	http://data.bnf.fr/ark:/12148/cb12125148h#foaf:Person	http://www.idref.fr/029679036	http://www.idref.fr/034521798
Körner	Körner, Theodor (1791-1813)	http://data.bnf.fr/ark:/12148/cb12125148h#foaf:Person	http://www.idref.fr/029679036	http://www.idref.fr/034521798
T Körner	Körner, Theodor (1791-1813)	http://data.bnf.fr/ark:/12148/cb12125148h#foaf:Person	http://www.idref.fr/029679036	http://www.idref.fr/034521798
T. Körner	Körner, Theodor (1791-1813)	http://data.bnf.fr/ark:/12148/cb12125148h#foaf:Person	http://www.idref.fr/029679036	http://www.idref.fr/034521798
M Körner	Körner, Theodor (1791-1813)	http://data.bnf.fr/ark:/12148/cb12125148h#foaf:Person	http://www.idref.fr/029679036	http://www.idref.fr/034521798
M Theodor Körner	Körner, Theodor (1791-1813)	http://data.bnf.fr/ark:/12148/cb12125148h#foaf:Person	http://www.idref.fr/029679036	http://www.idref.fr/034521798
M. Körner	Körner, Theodor (1791-1813)	http://data.bnf.fr/ark:/12148/cb12125148h#foaf:Person	http://www.idref.fr/029679036	http://www.idref.fr/034521798
M. Theodor Körner	Körner, Theodor (1791-1813)	http://data.bnf.fr/ark:/12148/cb12125148h#foaf:Person	http://www.idref.fr/029679036	http://www.idref.fr/034521798
Theodor Koerner	Körner, Theodor (1791-1813)	http://data.bnf.fr/ark:/12148/cb12125148h#foaf:Person	http://www.idref.fr/029679036	http://www.idref.fr/034521798
Carl Theodor Körner	Körner, Theodor (1791-1813)	http://data.bnf.fr/ark:/12148/cb12125148h#foaf:Person	http://www.idref.fr/029679036	http://www.idref.fr/034521798
Konstantin Katsarov	Katzarov, Konstantin (1898-1980)	http://data.bnf.fr/ark:/12148/cb13574250z#foaf:Person	http://www.idref.fr/030414431
Konstantin Katzarov	Katzarov, Konstantin (1898-1980)	http://data.bnf.fr/ark:/12148/cb13574250z#foaf:Person	http://www.idref.fr/030414431
Katzarov	Katzarov, Konstantin (1898-1980)	http://data.bnf.fr/ark:/12148/cb13574250z#foaf:Person	http://www.idref.fr/030414431
K Katzarov	Katzarov, Konstantin (1898-1980)	http://data.bnf.fr/ark:/12148/cb13574250z#foaf:Person	http://www.idref.fr/030414431
K. Katzarov	Katzarov, Konstantin (1898-1980)	http://data.bnf.fr/ark:/12148/cb13574250z#foaf:Person	http://www.idref.fr/030414431
M Katzarov	Katzarov, Konstantin (1898-1980)	http://data.bnf.fr/ark:/12148/cb13574250z#foaf:Person	http://www.idref.fr/030414431
M Konstantin Katzarov	Katzarov, Konstantin (1898-1980)	http://data.bnf.fr/ark:/12148/cb13574250z#foaf:Person	http://www.idref.fr/030414431
M. Katzarov	Katzarov, Konstantin (1898-1980)	http://data.bnf.fr/ark:/12148/cb13574250z#foaf:Person	http://www.idref.fr/030414431
M. Konstantin Katzarov	Katzarov, Konstantin (1898-1980)	http://data.bnf.fr/ark:/12148/cb13574250z#foaf:Person	http://www.idref.fr/030414431
Konstantin Kacarov	Katzarov, Konstantin (1898-1980)	http://data.bnf.fr/ark:/12148/cb13574250z#foaf:Person	http://www.idref.fr/030414431
Konstantin Katzaroff	Katzarov, Konstantin (1898-1980)	http://data.bnf.fr/ark:/12148/cb13574250z#foaf:Person	http://www.idref.fr/030414431
Melchior Kysel	Küsel, Melchior (1626-1683)	http://data.bnf.fr/ark:/12148/cb14976537w#foaf:Person
Melchior Küsel	Küsel, Melchior (1626-1683)	http://data.bnf.fr/ark:/12148/cb14976537w#foaf:Person
Küsel	Küsel, Melchior (1626-1683)	http://data.bnf.fr/ark:/12148/cb14976537w#foaf:Person
M Küsel	Küsel, Melchior (1626-1683)	http://data.bnf.fr/ark:/12148/cb14976537w#foaf:Person
M. Küsel	Küsel, Melchior (1626-1683)	http://data.bnf.fr/ark:/12148/cb14976537w#foaf:Person
M Küsel	Küsel, Melchior (1626-1683)	http://data.bnf.fr/ark:/12148/cb14976537w#foaf:Person
M Melchior Küsel	Küsel, Melchior (1626-1683)	http://data.bnf.fr/ark:/12148/cb14976537w#foaf:Person
M. Küsel	Küsel, Melchior (1626-1683)	http://data.bnf.fr/ark:/12148/cb14976537w#foaf:Person
M. Melchior Küsel	Küsel, Melchior (1626-1683)	http://data.bnf.fr/ark:/12148/cb14976537w#foaf:Person
Melchior Küsell	Küsel, Melchior (1626-1683)	http://data.bnf.fr/ark:/12148/cb14976537w#foaf:Person
Melchior Kuesel	Küsel, Melchior (1626-1683)	http://data.bnf.fr/ark:/12148/cb14976537w#foaf:Person
Henry Kendall	Kendall, Henry (1897-1962)	http://data.bnf.fr/ark:/12148/cb14192993j#foaf:Person	http://www.idref.fr/129691240
Kendall	Kendall, Henry (1897-1962)	http://data.bnf.fr/ark:/12148/cb14192993j#foaf:Person	http://www.idref.fr/129691240
H Kendall	Kendall, Henry (1897-1962)	http://data.bnf.fr/ark:/12148/cb14192993j#foaf:Person	http://www.idref.fr/129691240
H. Kendall	Kendall, Henry (1897-1962)	http://data.bnf.fr/ark:/12148/cb14192993j#foaf:Person	http://www.idref.fr/129691240
M Kendall	Kendall, Henry (1897-1962)	http://data.bnf.fr/ark:/12148/cb14192993j#foaf:Person	http://www.idref.fr/129691240
M Henry Kendall	Kendall, Henry (1897-1962)	http://data.bnf.fr/ark:/12148/cb14192993j#foaf:Person	http://www.idref.fr/129691240
M. Kendall	Kendall, Henry (1897-1962)	http://data.bnf.fr/ark:/12148/cb14192993j#foaf:Person	http://www.idref.fr/129691240
M. Henry Kendall	Kendall, Henry (1897-1962)	http://data.bnf.fr/ark:/12148/cb14192993j#foaf:Person	http://www.idref.fr/129691240
Gustav Koerting	Körting, Gustav (1845-1913)	http://data.bnf.fr/ark:/12148/cb126169280#foaf:Person	http://dbpedia.org/resource/Gustav_Körting	http://www.idref.fr/067150268
Gustav Körting	Körting, Gustav (1845-1913)	http://data.bnf.fr/ark:/12148/cb126169280#foaf:Person	http://dbpedia.org/resource/Gustav_Körting	http://www.idref.fr/067150268
Körting	Körting, Gustav (1845-1913)	http://data.bnf.fr/ark:/12148/cb126169280#foaf:Person	http://dbpedia.org/resource/Gustav_Körting	http://www.idref.fr/067150268
G Körting	Körting, Gustav (1845-1913)	http://data.bnf.fr/ark:/12148/cb126169280#foaf:Person	http://dbpedia.org/resource/Gustav_Körting	http://www.idref.fr/067150268
G. Körting	Körting, Gustav (1845-1913)	http://data.bnf.fr/ark:/12148/cb126169280#foaf:Person	http://dbpedia.org/resource/Gustav_Körting	http://www.idref.fr/067150268
M Körting	Körting, Gustav (1845-1913)	http://data.bnf.fr/ark:/12148/cb126169280#foaf:Person	http://dbpedia.org/resource/Gustav_Körting	http://www.idref.fr/067150268
M Gustav Körting	Körting, Gustav (1845-1913)	http://data.bnf.fr/ark:/12148/cb126169280#foaf:Person	http://dbpedia.org/resource/Gustav_Körting	http://www.idref.fr/067150268
M. Körting	Körting, Gustav (1845-1913)	http://data.bnf.fr/ark:/12148/cb126169280#foaf:Person	http://dbpedia.org/resource/Gustav_Körting	http://www.idref.fr/067150268
M. Gustav Körting	Körting, Gustav (1845-1913)	http://data.bnf.fr/ark:/12148/cb126169280#foaf:Person	http://dbpedia.org/resource/Gustav_Körting	http://www.idref.fr/067150268
Fritz Klatt	Klatt, Fritz (1888-1945)	http://data.bnf.fr/ark:/12148/cb12849541s#foaf:Person	http://www.idref.fr/058640657
Klatt	Klatt, Fritz (1888-1945)	http://data.bnf.fr/ark:/12148/cb12849541s#foaf:Person	http://www.idref.fr/058640657
F Klatt	Klatt, Fritz (1888-1945)	http://data.bnf.fr/ark:/12148/cb12849541s#foaf:Person	http://www.idref.fr/058640657
F. Klatt	Klatt, Fritz (1888-1945)	http://data.bnf.fr/ark:/12148/cb12849541s#foaf:Person	http://www.idref.fr/058640657
M Klatt	Klatt, Fritz (1888-1945)	http://data.bnf.fr/ark:/12148/cb12849541s#foaf:Person	http://www.idref.fr/058640657
M Fritz Klatt	Klatt, Fritz (1888-1945)	http://data.bnf.fr/ark:/12148/cb12849541s#foaf:Person	http://www.idref.fr/058640657
M. Klatt	Klatt, Fritz (1888-1945)	http://data.bnf.fr/ark:/12148/cb12849541s#foaf:Person	http://www.idref.fr/058640657
M. Fritz Klatt	Klatt, Fritz (1888-1945)	http://data.bnf.fr/ark:/12148/cb12849541s#foaf:Person	http://www.idref.fr/058640657
Arnold Kübler	Kübler, Arnold (1890-1983)	http://data.bnf.fr/ark:/12148/cb12268534n#foaf:Person	http://www.idref.fr/031476945
Kübler	Kübler, Arnold (1890-1983)	http://data.bnf.fr/ark:/12148/cb12268534n#foaf:Person	http://www.idref.fr/031476945
A Kübler	Kübler, Arnold (1890-1983)	http://data.bnf.fr/ark:/12148/cb12268534n#foaf:Person	http://www.idref.fr/031476945
A. Kübler	Kübler, Arnold (1890-1983)	http://data.bnf.fr/ark:/12148/cb12268534n#foaf:Person	http://www.idref.fr/031476945
M Kübler	Kübler, Arnold (1890-1983)	http://data.bnf.fr/ark:/12148/cb12268534n#foaf:Person	http://www.idref.fr/031476945
M Arnold Kübler	Kübler, Arnold (1890-1983)	http://data.bnf.fr/ark:/12148/cb12268534n#foaf:Person	http://www.idref.fr/031476945
M. Kübler	Kübler, Arnold (1890-1983)	http://data.bnf.fr/ark:/12148/cb12268534n#foaf:Person	http://www.idref.fr/031476945
M. Arnold Kübler	Kübler, Arnold (1890-1983)	http://data.bnf.fr/ark:/12148/cb12268534n#foaf:Person	http://www.idref.fr/031476945
Henrik Kretschmayr	Kretschmayr, Heinrich (1870-1939)	http://data.bnf.fr/ark:/12148/cb127896600#foaf:Person	http://www.idref.fr/084560533
Heinrich Kretschmayr	Kretschmayr, Heinrich (1870-1939)	http://data.bnf.fr/ark:/12148/cb127896600#foaf:Person	http://www.idref.fr/084560533
Kretschmayr	Kretschmayr, Heinrich (1870-1939)	http://data.bnf.fr/ark:/12148/cb127896600#foaf:Person	http://www.idref.fr/084560533
H Kretschmayr	Kretschmayr, Heinrich (1870-1939)	http://data.bnf.fr/ark:/12148/cb127896600#foaf:Person	http://www.idref.fr/084560533
H. Kretschmayr	Kretschmayr, Heinrich (1870-1939)	http://data.bnf.fr/ark:/12148/cb127896600#foaf:Person	http://www.idref.fr/084560533
M Kretschmayr	Kretschmayr, Heinrich (1870-1939)	http://data.bnf.fr/ark:/12148/cb127896600#foaf:Person	http://www.idref.fr/084560533
M Heinrich Kretschmayr	Kretschmayr, Heinrich (1870-1939)	http://data.bnf.fr/ark:/12148/cb127896600#foaf:Person	http://www.idref.fr/084560533
M. Kretschmayr	Kretschmayr, Heinrich (1870-1939)	http://data.bnf.fr/ark:/12148/cb127896600#foaf:Person	http://www.idref.fr/084560533
M. Heinrich Kretschmayr	Kretschmayr, Heinrich (1870-1939)	http://data.bnf.fr/ark:/12148/cb127896600#foaf:Person	http://www.idref.fr/084560533
Erwin Kroll	Kroll, Erwin (1886-1976)	http://data.bnf.fr/ark:/12148/cb10243856w#foaf:Person
Kroll	Kroll, Erwin (1886-1976)	http://data.bnf.fr/ark:/12148/cb10243856w#foaf:Person
E Kroll	Kroll, Erwin (1886-1976)	http://data.bnf.fr/ark:/12148/cb10243856w#foaf:Person
E. Kroll	Kroll, Erwin (1886-1976)	http://data.bnf.fr/ark:/12148/cb10243856w#foaf:Person
M Kroll	Kroll, Erwin (1886-1976)	http://data.bnf.fr/ark:/12148/cb10243856w#foaf:Person
M Erwin Kroll	Kroll, Erwin (1886-1976)	http://data.bnf.fr/ark:/12148/cb10243856w#foaf:Person
M. Kroll	Kroll, Erwin (1886-1976)	http://data.bnf.fr/ark:/12148/cb10243856w#foaf:Person
M. Erwin Kroll	Kroll, Erwin (1886-1976)	http://data.bnf.fr/ark:/12148/cb10243856w#foaf:Person
Adolf Keller	Keller, Adolf (1872-1963)	http://data.bnf.fr/ark:/12148/cb10439925g#foaf:Person	http://www.idref.fr/155334441
Keller	Keller, Adolf (1872-1963)	http://data.bnf.fr/ark:/12148/cb10439925g#foaf:Person	http://www.idref.fr/155334441
A Keller	Keller, Adolf (1872-1963)	http://data.bnf.fr/ark:/12148/cb10439925g#foaf:Person	http://www.idref.fr/155334441
A. Keller	Keller, Adolf (1872-1963)	http://data.bnf.fr/ark:/12148/cb10439925g#foaf:Person	http://www.idref.fr/155334441
M Keller	Keller, Adolf (1872-1963)	http://data.bnf.fr/ark:/12148/cb10439925g#foaf:Person	http://www.idref.fr/155334441
M Adolf Keller	Keller, Adolf (1872-1963)	http://data.bnf.fr/ark:/12148/cb10439925g#foaf:Person	http://www.idref.fr/155334441
M. Keller	Keller, Adolf (1872-1963)	http://data.bnf.fr/ark:/12148/cb10439925g#foaf:Person	http://www.idref.fr/155334441
M. Adolf Keller	Keller, Adolf (1872-1963)	http://data.bnf.fr/ark:/12148/cb10439925g#foaf:Person	http://www.idref.fr/155334441
Cyrillus Kreek	Kreek, Cyrillus (1889-1962)	http://data.bnf.fr/ark:/12148/cb144641702#foaf:Person	http://dbpedia.org/resource/Cyrillus_Kreek	http://www.idref.fr/097656771
Kreek	Kreek, Cyrillus (1889-1962)	http://data.bnf.fr/ark:/12148/cb144641702#foaf:Person	http://dbpedia.org/resource/Cyrillus_Kreek	http://www.idref.fr/097656771
C Kreek	Kreek, Cyrillus (1889-1962)	http://data.bnf.fr/ark:/12148/cb144641702#foaf:Person	http://dbpedia.org/resource/Cyrillus_Kreek	http://www.idref.fr/097656771
C. Kreek	Kreek, Cyrillus (1889-1962)	http://data.bnf.fr/ark:/12148/cb144641702#foaf:Person	http://dbpedia.org/resource/Cyrillus_Kreek	http://www.idref.fr/097656771
M Kreek	Kreek, Cyrillus (1889-1962)	http://data.bnf.fr/ark:/12148/cb144641702#foaf:Person	http://dbpedia.org/resource/Cyrillus_Kreek	http://www.idref.fr/097656771
M Cyrillus Kreek	Kreek, Cyrillus (1889-1962)	http://data.bnf.fr/ark:/12148/cb144641702#foaf:Person	http://dbpedia.org/resource/Cyrillus_Kreek	http://www.idref.fr/097656771
M. Kreek	Kreek, Cyrillus (1889-1962)	http://data.bnf.fr/ark:/12148/cb144641702#foaf:Person	http://dbpedia.org/resource/Cyrillus_Kreek	http://www.idref.fr/097656771
M. Cyrillus Kreek	Kreek, Cyrillus (1889-1962)	http://data.bnf.fr/ark:/12148/cb144641702#foaf:Person	http://dbpedia.org/resource/Cyrillus_Kreek	http://www.idref.fr/097656771
Willem Kes	Kes, Willem (1856-1934)	http://data.bnf.fr/ark:/12148/cb15117027z#foaf:Person
Kes	Kes, Willem (1856-1934)	http://data.bnf.fr/ark:/12148/cb15117027z#foaf:Person
W Kes	Kes, Willem (1856-1934)	http://data.bnf.fr/ark:/12148/cb15117027z#foaf:Person
W. Kes	Kes, Willem (1856-1934)	http://data.bnf.fr/ark:/12148/cb15117027z#foaf:Person
M Kes	Kes, Willem (1856-1934)	http://data.bnf.fr/ark:/12148/cb15117027z#foaf:Person
M Willem Kes	Kes, Willem (1856-1934)	http://data.bnf.fr/ark:/12148/cb15117027z#foaf:Person
M. Kes	Kes, Willem (1856-1934)	http://data.bnf.fr/ark:/12148/cb15117027z#foaf:Person
M. Willem Kes	Kes, Willem (1856-1934)	http://data.bnf.fr/ark:/12148/cb15117027z#foaf:Person
Karel Koval	Koval, Karel (1896-1956)	http://data.bnf.fr/ark:/12148/cb10862894n#foaf:Person	http://www.idref.fr/129744662
Koval	Koval, Karel (1896-1956)	http://data.bnf.fr/ark:/12148/cb10862894n#foaf:Person	http://www.idref.fr/129744662
K Koval	Koval, Karel (1896-1956)	http://data.bnf.fr/ark:/12148/cb10862894n#foaf:Person	http://www.idref.fr/129744662
K. Koval	Koval, Karel (1896-1956)	http://data.bnf.fr/ark:/12148/cb10862894n#foaf:Person	http://www.idref.fr/129744662
M Koval	Koval, Karel (1896-1956)	http://data.bnf.fr/ark:/12148/cb10862894n#foaf:Person	http://www.idref.fr/129744662
M Karel Koval	Koval, Karel (1896-1956)	http://data.bnf.fr/ark:/12148/cb10862894n#foaf:Person	http://www.idref.fr/129744662
M. Koval	Koval, Karel (1896-1956)	http://data.bnf.fr/ark:/12148/cb10862894n#foaf:Person	http://www.idref.fr/129744662
M. Karel Koval	Koval, Karel (1896-1956)	http://data.bnf.fr/ark:/12148/cb10862894n#foaf:Person	http://www.idref.fr/129744662
Wilhelm Kolle	Kolle, Wilhelm (1868-1935)	http://data.bnf.fr/ark:/12148/cb105032369#foaf:Person	http://www.idref.fr/085696056
Kolle	Kolle, Wilhelm (1868-1935)	http://data.bnf.fr/ark:/12148/cb105032369#foaf:Person	http://www.idref.fr/085696056
W Kolle	Kolle, Wilhelm (1868-1935)	http://data.bnf.fr/ark:/12148/cb105032369#foaf:Person	http://www.idref.fr/085696056
W. Kolle	Kolle, Wilhelm (1868-1935)	http://data.bnf.fr/ark:/12148/cb105032369#foaf:Person	http://www.idref.fr/085696056
M Kolle	Kolle, Wilhelm (1868-1935)	http://data.bnf.fr/ark:/12148/cb105032369#foaf:Person	http://www.idref.fr/085696056
M Wilhelm Kolle	Kolle, Wilhelm (1868-1935)	http://data.bnf.fr/ark:/12148/cb105032369#foaf:Person	http://www.idref.fr/085696056
M. Kolle	Kolle, Wilhelm (1868-1935)	http://data.bnf.fr/ark:/12148/cb105032369#foaf:Person	http://www.idref.fr/085696056
M. Wilhelm Kolle	Kolle, Wilhelm (1868-1935)	http://data.bnf.fr/ark:/12148/cb105032369#foaf:Person	http://www.idref.fr/085696056
Vitalij Ignat'evic Kil'cevskij	Kil' cevskij, Vitalij Ignat' evic (1899--)	http://data.bnf.fr/ark:/12148/cb139942742#foaf:Person
Kil'cevskij	Kil' cevskij, Vitalij Ignat' evic (1899--)	http://data.bnf.fr/ark:/12148/cb139942742#foaf:Person
V I Kil'cevskij	Kil' cevskij, Vitalij Ignat' evic (1899--)	http://data.bnf.fr/ark:/12148/cb139942742#foaf:Person
V. I. Kil'cevskij	Kil' cevskij, Vitalij Ignat' evic (1899--)	http://data.bnf.fr/ark:/12148/cb139942742#foaf:Person
M Kil'cevskij	Kil' cevskij, Vitalij Ignat' evic (1899--)	http://data.bnf.fr/ark:/12148/cb139942742#foaf:Person
M Vitalij Ignat'evic Kil'cevskij	Kil' cevskij, Vitalij Ignat' evic (1899--)	http://data.bnf.fr/ark:/12148/cb139942742#foaf:Person
M. Kil'cevskij	Kil' cevskij, Vitalij Ignat' evic (1899--)	http://data.bnf.fr/ark:/12148/cb139942742#foaf:Person
M. Vitalij Ignat'evic Kil'cevskij	Kil' cevskij, Vitalij Ignat' evic (1899--)	http://data.bnf.fr/ark:/12148/cb139942742#foaf:Person
Irving Kaufman	Kaufman, Irving (1890-1976)	http://data.bnf.fr/ark:/12148/cb14192579w#foaf:Person
Kaufman	Kaufman, Irving (1890-1976)	http://data.bnf.fr/ark:/12148/cb14192579w#foaf:Person
I Kaufman	Kaufman, Irving (1890-1976)	http://data.bnf.fr/ark:/12148/cb14192579w#foaf:Person
I. Kaufman	Kaufman, Irving (1890-1976)	http://data.bnf.fr/ark:/12148/cb14192579w#foaf:Person
M Kaufman	Kaufman, Irving (1890-1976)	http://data.bnf.fr/ark:/12148/cb14192579w#foaf:Person
M Irving Kaufman	Kaufman, Irving (1890-1976)	http://data.bnf.fr/ark:/12148/cb14192579w#foaf:Person
M. Kaufman	Kaufman, Irving (1890-1976)	http://data.bnf.fr/ark:/12148/cb14192579w#foaf:Person
M. Irving Kaufman	Kaufman, Irving (1890-1976)	http://data.bnf.fr/ark:/12148/cb14192579w#foaf:Person
Pierre Keller	Keller, Pierre (1889-1941)	http://data.bnf.fr/ark:/12148/cb16667096t#foaf:Person
Keller	Keller, Pierre (1889-1941)	http://data.bnf.fr/ark:/12148/cb16667096t#foaf:Person
P Keller	Keller, Pierre (1889-1941)	http://data.bnf.fr/ark:/12148/cb16667096t#foaf:Person
P. Keller	Keller, Pierre (1889-1941)	http://data.bnf.fr/ark:/12148/cb16667096t#foaf:Person
M Keller	Keller, Pierre (1889-1941)	http://data.bnf.fr/ark:/12148/cb16667096t#foaf:Person
M Pierre Keller	Keller, Pierre (1889-1941)	http://data.bnf.fr/ark:/12148/cb16667096t#foaf:Person
M. Keller	Keller, Pierre (1889-1941)	http://data.bnf.fr/ark:/12148/cb16667096t#foaf:Person
M. Pierre Keller	Keller, Pierre (1889-1941)	http://data.bnf.fr/ark:/12148/cb16667096t#foaf:Person
Eduard Kolloff	Kolloff, Eduard (1811-1879)	http://data.bnf.fr/ark:/12148/cb13014301x#foaf:Person	http://www.idref.fr/111622549
Kolloff	Kolloff, Eduard (1811-1879)	http://data.bnf.fr/ark:/12148/cb13014301x#foaf:Person	http://www.idref.fr/111622549
E Kolloff	Kolloff, Eduard (1811-1879)	http://data.bnf.fr/ark:/12148/cb13014301x#foaf:Person	http://www.idref.fr/111622549
E. Kolloff	Kolloff, Eduard (1811-1879)	http://data.bnf.fr/ark:/12148/cb13014301x#foaf:Person	http://www.idref.fr/111622549
M Kolloff	Kolloff, Eduard (1811-1879)	http://data.bnf.fr/ark:/12148/cb13014301x#foaf:Person	http://www.idref.fr/111622549
M Eduard Kolloff	Kolloff, Eduard (1811-1879)	http://data.bnf.fr/ark:/12148/cb13014301x#foaf:Person	http://www.idref.fr/111622549
M. Kolloff	Kolloff, Eduard (1811-1879)	http://data.bnf.fr/ark:/12148/cb13014301x#foaf:Person	http://www.idref.fr/111622549
M. Eduard Kolloff	Kolloff, Eduard (1811-1879)	http://data.bnf.fr/ark:/12148/cb13014301x#foaf:Person	http://www.idref.fr/111622549
Henrys	Kaempfen, Albert (1826-1907)	http://data.bnf.fr/ark:/12148/cb10692556j#foaf:Person
Albert Kaempfen	Kaempfen, Albert (1826-1907)	http://data.bnf.fr/ark:/12148/cb10692556j#foaf:Person
Kaempfen	Kaempfen, Albert (1826-1907)	http://data.bnf.fr/ark:/12148/cb10692556j#foaf:Person
A Kaempfen	Kaempfen, Albert (1826-1907)	http://data.bnf.fr/ark:/12148/cb10692556j#foaf:Person
A. Kaempfen	Kaempfen, Albert (1826-1907)	http://data.bnf.fr/ark:/12148/cb10692556j#foaf:Person
M Kaempfen	Kaempfen, Albert (1826-1907)	http://data.bnf.fr/ark:/12148/cb10692556j#foaf:Person
M Albert Kaempfen	Kaempfen, Albert (1826-1907)	http://data.bnf.fr/ark:/12148/cb10692556j#foaf:Person
M. Kaempfen	Kaempfen, Albert (1826-1907)	http://data.bnf.fr/ark:/12148/cb10692556j#foaf:Person
M. Albert Kaempfen	Kaempfen, Albert (1826-1907)	http://data.bnf.fr/ark:/12148/cb10692556j#foaf:Person
X. Feyrnet	Kaempfen, Albert (1826-1907)	http://data.bnf.fr/ark:/12148/cb10692556j#foaf:Person
