William Harrison Woodward	Woodward, William Harrison (1856-1941)	http://data.bnf.fr/ark:/12148/cb16761475p#foaf:Person	http://www.idref.fr/133850870
H J Wood	Wood, Henry Joseph (1869-1944)	http://data.bnf.fr/ark:/12148/cb13927792n#foaf:Person	http://www.idref.fr/080493734	http://dbpedia.org/resource/Henry_Wood_(chef_d'orchestre)
H. J. Wood	Wood, Henry Joseph (1869-1944)	http://data.bnf.fr/ark:/12148/cb13927792n#foaf:Person	http://www.idref.fr/080493734	http://dbpedia.org/resource/Henry_Wood_(chef_d'orchestre)
M Wood	Wood, Henry Joseph (1869-1944)	http://data.bnf.fr/ark:/12148/cb13927792n#foaf:Person	http://www.idref.fr/080493734	http://dbpedia.org/resource/Henry_Wood_(chef_d'orchestre)
M Henry Joseph Wood	Wood, Henry Joseph (1869-1944)	http://data.bnf.fr/ark:/12148/cb13927792n#foaf:Person	http://www.idref.fr/080493734	http://dbpedia.org/resource/Henry_Wood_(chef_d'orchestre)
M. Wood	Wood, Henry Joseph (1869-1944)	http://data.bnf.fr/ark:/12148/cb13927792n#foaf:Person	http://www.idref.fr/080493734	http://dbpedia.org/resource/Henry_Wood_(chef_d'orchestre)
M. Henry Joseph Wood	Wood, Henry Joseph (1869-1944)	http://data.bnf.fr/ark:/12148/cb13927792n#foaf:Person	http://www.idref.fr/080493734	http://dbpedia.org/resource/Henry_Wood_(chef_d'orchestre)
John Webster	Webster, John (1580-1625)	http://data.bnf.fr/ark:/12148/cb119984760#foaf:Person	http://dbpedia.org/resource/John_Webster	http://www.idref.fr/028077563
Webster	Webster, John (1580-1625)	http://data.bnf.fr/ark:/12148/cb119984760#foaf:Person	http://dbpedia.org/resource/John_Webster	http://www.idref.fr/028077563
J Webster	Webster, John (1580-1625)	http://data.bnf.fr/ark:/12148/cb119984760#foaf:Person	http://dbpedia.org/resource/John_Webster	http://www.idref.fr/028077563
J. Webster	Webster, John (1580-1625)	http://data.bnf.fr/ark:/12148/cb119984760#foaf:Person	http://dbpedia.org/resource/John_Webster	http://www.idref.fr/028077563
M Webster	Webster, John (1580-1625)	http://data.bnf.fr/ark:/12148/cb119984760#foaf:Person	http://dbpedia.org/resource/John_Webster	http://www.idref.fr/028077563
M John Webster	Webster, John (1580-1625)	http://data.bnf.fr/ark:/12148/cb119984760#foaf:Person	http://dbpedia.org/resource/John_Webster	http://www.idref.fr/028077563
M. Webster	Webster, John (1580-1625)	http://data.bnf.fr/ark:/12148/cb119984760#foaf:Person	http://dbpedia.org/resource/John_Webster	http://www.idref.fr/028077563
M. John Webster	Webster, John (1580-1625)	http://data.bnf.fr/ark:/12148/cb119984760#foaf:Person	http://dbpedia.org/resource/John_Webster	http://www.idref.fr/028077563
André Wurmser	Wurmser, André (1899-1984)	http://data.bnf.fr/ark:/12148/cb119294414#foaf:Person	http://www.idref.fr/027200310
Wurmser	Wurmser, André (1899-1984)	http://data.bnf.fr/ark:/12148/cb119294414#foaf:Person	http://www.idref.fr/027200310
A Wurmser	Wurmser, André (1899-1984)	http://data.bnf.fr/ark:/12148/cb119294414#foaf:Person	http://www.idref.fr/027200310
A. Wurmser	Wurmser, André (1899-1984)	http://data.bnf.fr/ark:/12148/cb119294414#foaf:Person	http://www.idref.fr/027200310
M Wurmser	Wurmser, André (1899-1984)	http://data.bnf.fr/ark:/12148/cb119294414#foaf:Person	http://www.idref.fr/027200310
M André Wurmser	Wurmser, André (1899-1984)	http://data.bnf.fr/ark:/12148/cb119294414#foaf:Person	http://www.idref.fr/027200310
M. Wurmser	Wurmser, André (1899-1984)	http://data.bnf.fr/ark:/12148/cb119294414#foaf:Person	http://www.idref.fr/027200310
M. André Wurmser	Wurmser, André (1899-1984)	http://data.bnf.fr/ark:/12148/cb119294414#foaf:Person	http://www.idref.fr/027200310
Albertus Way	Way, Albert (1805-1874)	http://data.bnf.fr/ark:/12148/cb136144973#foaf:Person	http://www.idref.fr/085810010
Albert Way	Way, Albert (1805-1874)	http://data.bnf.fr/ark:/12148/cb136144973#foaf:Person	http://www.idref.fr/085810010
Way	Way, Albert (1805-1874)	http://data.bnf.fr/ark:/12148/cb136144973#foaf:Person	http://www.idref.fr/085810010
A Way	Way, Albert (1805-1874)	http://data.bnf.fr/ark:/12148/cb136144973#foaf:Person	http://www.idref.fr/085810010
A. Way	Way, Albert (1805-1874)	http://data.bnf.fr/ark:/12148/cb136144973#foaf:Person	http://www.idref.fr/085810010
M Way	Way, Albert (1805-1874)	http://data.bnf.fr/ark:/12148/cb136144973#foaf:Person	http://www.idref.fr/085810010
M Albert Way	Way, Albert (1805-1874)	http://data.bnf.fr/ark:/12148/cb136144973#foaf:Person	http://www.idref.fr/085810010
M. Way	Way, Albert (1805-1874)	http://data.bnf.fr/ark:/12148/cb136144973#foaf:Person	http://www.idref.fr/085810010
M. Albert Way	Way, Albert (1805-1874)	http://data.bnf.fr/ark:/12148/cb136144973#foaf:Person	http://www.idref.fr/085810010
Sylvius Leopold Weiss	Weiss, Silvius Leopold (1686-1750)	http://data.bnf.fr/ark:/12148/cb139010816#foaf:Person	http://dbpedia.org/resource/Sylvius_Leopold_Weiss	http://www.idref.fr/145213846
Silvius Leopold Weiss	Weiss, Silvius Leopold (1686-1750)	http://data.bnf.fr/ark:/12148/cb139010816#foaf:Person	http://dbpedia.org/resource/Sylvius_Leopold_Weiss	http://www.idref.fr/145213846
Weiss	Weiss, Silvius Leopold (1686-1750)	http://data.bnf.fr/ark:/12148/cb139010816#foaf:Person	http://dbpedia.org/resource/Sylvius_Leopold_Weiss	http://www.idref.fr/145213846
S L Weiss	Weiss, Silvius Leopold (1686-1750)	http://data.bnf.fr/ark:/12148/cb139010816#foaf:Person	http://dbpedia.org/resource/Sylvius_Leopold_Weiss	http://www.idref.fr/145213846
S. L. Weiss	Weiss, Silvius Leopold (1686-1750)	http://data.bnf.fr/ark:/12148/cb139010816#foaf:Person	http://dbpedia.org/resource/Sylvius_Leopold_Weiss	http://www.idref.fr/145213846
M Weiss	Weiss, Silvius Leopold (1686-1750)	http://data.bnf.fr/ark:/12148/cb139010816#foaf:Person	http://dbpedia.org/resource/Sylvius_Leopold_Weiss	http://www.idref.fr/145213846
M Silvius Leopold Weiss	Weiss, Silvius Leopold (1686-1750)	http://data.bnf.fr/ark:/12148/cb139010816#foaf:Person	http://dbpedia.org/resource/Sylvius_Leopold_Weiss	http://www.idref.fr/145213846
M. Weiss	Weiss, Silvius Leopold (1686-1750)	http://data.bnf.fr/ark:/12148/cb139010816#foaf:Person	http://dbpedia.org/resource/Sylvius_Leopold_Weiss	http://www.idref.fr/145213846
M. Silvius Leopold Weiss	Weiss, Silvius Leopold (1686-1750)	http://data.bnf.fr/ark:/12148/cb139010816#foaf:Person	http://dbpedia.org/resource/Sylvius_Leopold_Weiss	http://www.idref.fr/145213846
Leopold Weiss	Weiss, Silvius Leopold (1686-1750)	http://data.bnf.fr/ark:/12148/cb139010816#foaf:Person	http://dbpedia.org/resource/Sylvius_Leopold_Weiss	http://www.idref.fr/145213846
Norbert Wiener	Wiener, Norbert (1894-1964)	http://data.bnf.fr/ark:/12148/cb12353336j#foaf:Person	http://dbpedia.org/resource/Norbert_Wiener	http://www.idref.fr/030844290
Wiener	Wiener, Norbert (1894-1964)	http://data.bnf.fr/ark:/12148/cb12353336j#foaf:Person	http://dbpedia.org/resource/Norbert_Wiener	http://www.idref.fr/030844290
N Wiener	Wiener, Norbert (1894-1964)	http://data.bnf.fr/ark:/12148/cb12353336j#foaf:Person	http://dbpedia.org/resource/Norbert_Wiener	http://www.idref.fr/030844290
N. Wiener	Wiener, Norbert (1894-1964)	http://data.bnf.fr/ark:/12148/cb12353336j#foaf:Person	http://dbpedia.org/resource/Norbert_Wiener	http://www.idref.fr/030844290
M Wiener	Wiener, Norbert (1894-1964)	http://data.bnf.fr/ark:/12148/cb12353336j#foaf:Person	http://dbpedia.org/resource/Norbert_Wiener	http://www.idref.fr/030844290
M Norbert Wiener	Wiener, Norbert (1894-1964)	http://data.bnf.fr/ark:/12148/cb12353336j#foaf:Person	http://dbpedia.org/resource/Norbert_Wiener	http://www.idref.fr/030844290
M. Wiener	Wiener, Norbert (1894-1964)	http://data.bnf.fr/ark:/12148/cb12353336j#foaf:Person	http://dbpedia.org/resource/Norbert_Wiener	http://www.idref.fr/030844290
M. Norbert Wiener	Wiener, Norbert (1894-1964)	http://data.bnf.fr/ark:/12148/cb12353336j#foaf:Person	http://dbpedia.org/resource/Norbert_Wiener	http://www.idref.fr/030844290
Robert Weltsch	Weltsch, Robert (1891-1982)	http://data.bnf.fr/ark:/12148/cb121827836#foaf:Person	http://www.idref.fr/030408067
Weltsch	Weltsch, Robert (1891-1982)	http://data.bnf.fr/ark:/12148/cb121827836#foaf:Person	http://www.idref.fr/030408067
R Weltsch	Weltsch, Robert (1891-1982)	http://data.bnf.fr/ark:/12148/cb121827836#foaf:Person	http://www.idref.fr/030408067
R. Weltsch	Weltsch, Robert (1891-1982)	http://data.bnf.fr/ark:/12148/cb121827836#foaf:Person	http://www.idref.fr/030408067
M Weltsch	Weltsch, Robert (1891-1982)	http://data.bnf.fr/ark:/12148/cb121827836#foaf:Person	http://www.idref.fr/030408067
M Robert Weltsch	Weltsch, Robert (1891-1982)	http://data.bnf.fr/ark:/12148/cb121827836#foaf:Person	http://www.idref.fr/030408067
M. Weltsch	Weltsch, Robert (1891-1982)	http://data.bnf.fr/ark:/12148/cb121827836#foaf:Person	http://www.idref.fr/030408067
M. Robert Weltsch	Weltsch, Robert (1891-1982)	http://data.bnf.fr/ark:/12148/cb121827836#foaf:Person	http://www.idref.fr/030408067
Louis Wirth	Wirth, Louis (1897-1952)	http://data.bnf.fr/ark:/12148/cb11929306b#foaf:Person	http://www.idref.fr/027198529	http://dbpedia.org/resource/Louis_Wirth
Wirth	Wirth, Louis (1897-1952)	http://data.bnf.fr/ark:/12148/cb11929306b#foaf:Person	http://www.idref.fr/027198529	http://dbpedia.org/resource/Louis_Wirth
L Wirth	Wirth, Louis (1897-1952)	http://data.bnf.fr/ark:/12148/cb11929306b#foaf:Person	http://www.idref.fr/027198529	http://dbpedia.org/resource/Louis_Wirth
L. Wirth	Wirth, Louis (1897-1952)	http://data.bnf.fr/ark:/12148/cb11929306b#foaf:Person	http://www.idref.fr/027198529	http://dbpedia.org/resource/Louis_Wirth
M Wirth	Wirth, Louis (1897-1952)	http://data.bnf.fr/ark:/12148/cb11929306b#foaf:Person	http://www.idref.fr/027198529	http://dbpedia.org/resource/Louis_Wirth
M Louis Wirth	Wirth, Louis (1897-1952)	http://data.bnf.fr/ark:/12148/cb11929306b#foaf:Person	http://www.idref.fr/027198529	http://dbpedia.org/resource/Louis_Wirth
M. Wirth	Wirth, Louis (1897-1952)	http://data.bnf.fr/ark:/12148/cb11929306b#foaf:Person	http://www.idref.fr/027198529	http://dbpedia.org/resource/Louis_Wirth
M. Louis Wirth	Wirth, Louis (1897-1952)	http://data.bnf.fr/ark:/12148/cb11929306b#foaf:Person	http://www.idref.fr/027198529	http://dbpedia.org/resource/Louis_Wirth
Bernhard Weiss	Weiss, Bernhard (1880-1951)	http://data.bnf.fr/ark:/12148/cb124724423#foaf:Person
Weiss	Weiss, Bernhard (1880-1951)	http://data.bnf.fr/ark:/12148/cb124724423#foaf:Person
B Weiss	Weiss, Bernhard (1880-1951)	http://data.bnf.fr/ark:/12148/cb124724423#foaf:Person
B. Weiss	Weiss, Bernhard (1880-1951)	http://data.bnf.fr/ark:/12148/cb124724423#foaf:Person
M Weiss	Weiss, Bernhard (1880-1951)	http://data.bnf.fr/ark:/12148/cb124724423#foaf:Person
M Bernhard Weiss	Weiss, Bernhard (1880-1951)	http://data.bnf.fr/ark:/12148/cb124724423#foaf:Person
M. Weiss	Weiss, Bernhard (1880-1951)	http://data.bnf.fr/ark:/12148/cb124724423#foaf:Person
M. Bernhard Weiss	Weiss, Bernhard (1880-1951)	http://data.bnf.fr/ark:/12148/cb124724423#foaf:Person
Ernst Johannes Wigforss	Wigforss, Ernst Johannes (1881-1977)	http://data.bnf.fr/ark:/12148/cb133244237#foaf:Person	http://www.idref.fr/035611200
Wigforss	Wigforss, Ernst Johannes (1881-1977)	http://data.bnf.fr/ark:/12148/cb133244237#foaf:Person	http://www.idref.fr/035611200
E J Wigforss	Wigforss, Ernst Johannes (1881-1977)	http://data.bnf.fr/ark:/12148/cb133244237#foaf:Person	http://www.idref.fr/035611200
E. J. Wigforss	Wigforss, Ernst Johannes (1881-1977)	http://data.bnf.fr/ark:/12148/cb133244237#foaf:Person	http://www.idref.fr/035611200
M Wigforss	Wigforss, Ernst Johannes (1881-1977)	http://data.bnf.fr/ark:/12148/cb133244237#foaf:Person	http://www.idref.fr/035611200
M Ernst Johannes Wigforss	Wigforss, Ernst Johannes (1881-1977)	http://data.bnf.fr/ark:/12148/cb133244237#foaf:Person	http://www.idref.fr/035611200
M. Wigforss	Wigforss, Ernst Johannes (1881-1977)	http://data.bnf.fr/ark:/12148/cb133244237#foaf:Person	http://www.idref.fr/035611200
M. Ernst Johannes Wigforss	Wigforss, Ernst Johannes (1881-1977)	http://data.bnf.fr/ark:/12148/cb133244237#foaf:Person	http://www.idref.fr/035611200
Wendeling	Wendelin, 	http://data.bnf.fr/ark:/12148/cb151163622#foaf:Person
 Wendelin	Wendelin, 	http://data.bnf.fr/ark:/12148/cb151163622#foaf:Person
Wendelin	Wendelin, 	http://data.bnf.fr/ark:/12148/cb151163622#foaf:Person
 Wendelin	Wendelin, 	http://data.bnf.fr/ark:/12148/cb151163622#foaf:Person
. Wendelin	Wendelin, 	http://data.bnf.fr/ark:/12148/cb151163622#foaf:Person
M Wendelin	Wendelin, 	http://data.bnf.fr/ark:/12148/cb151163622#foaf:Person
M  Wendelin	Wendelin, 	http://data.bnf.fr/ark:/12148/cb151163622#foaf:Person
M. Wendelin	Wendelin, 	http://data.bnf.fr/ark:/12148/cb151163622#foaf:Person
M.  Wendelin	Wendelin, 	http://data.bnf.fr/ark:/12148/cb151163622#foaf:Person
Ernst Wagner	Wagner, Ernst (1874-1938)	http://data.bnf.fr/ark:/12148/cb12389705f#foaf:Person	http://www.idref.fr/032979630
Wagner	Wagner, Ernst (1874-1938)	http://data.bnf.fr/ark:/12148/cb12389705f#foaf:Person	http://www.idref.fr/032979630
E Wagner	Wagner, Ernst (1874-1938)	http://data.bnf.fr/ark:/12148/cb12389705f#foaf:Person	http://www.idref.fr/032979630
E. Wagner	Wagner, Ernst (1874-1938)	http://data.bnf.fr/ark:/12148/cb12389705f#foaf:Person	http://www.idref.fr/032979630
M Wagner	Wagner, Ernst (1874-1938)	http://data.bnf.fr/ark:/12148/cb12389705f#foaf:Person	http://www.idref.fr/032979630
M Ernst Wagner	Wagner, Ernst (1874-1938)	http://data.bnf.fr/ark:/12148/cb12389705f#foaf:Person	http://www.idref.fr/032979630
M. Wagner	Wagner, Ernst (1874-1938)	http://data.bnf.fr/ark:/12148/cb12389705f#foaf:Person	http://www.idref.fr/032979630
M. Ernst Wagner	Wagner, Ernst (1874-1938)	http://data.bnf.fr/ark:/12148/cb12389705f#foaf:Person	http://www.idref.fr/032979630
Fritz Wernick	Wernick, Fritz (1823-1891)	http://data.bnf.fr/ark:/12148/cb13743699w#foaf:Person
Wernick	Wernick, Fritz (1823-1891)	http://data.bnf.fr/ark:/12148/cb13743699w#foaf:Person
F Wernick	Wernick, Fritz (1823-1891)	http://data.bnf.fr/ark:/12148/cb13743699w#foaf:Person
F. Wernick	Wernick, Fritz (1823-1891)	http://data.bnf.fr/ark:/12148/cb13743699w#foaf:Person
M Wernick	Wernick, Fritz (1823-1891)	http://data.bnf.fr/ark:/12148/cb13743699w#foaf:Person
M Fritz Wernick	Wernick, Fritz (1823-1891)	http://data.bnf.fr/ark:/12148/cb13743699w#foaf:Person
M. Wernick	Wernick, Fritz (1823-1891)	http://data.bnf.fr/ark:/12148/cb13743699w#foaf:Person
M. Fritz Wernick	Wernick, Fritz (1823-1891)	http://data.bnf.fr/ark:/12148/cb13743699w#foaf:Person
Gerhard Witting	Witting, Gerhard (1889-1982)	http://data.bnf.fr/ark:/12148/cb13981550z#foaf:Person
Witting	Witting, Gerhard (1889-1982)	http://data.bnf.fr/ark:/12148/cb13981550z#foaf:Person
G Witting	Witting, Gerhard (1889-1982)	http://data.bnf.fr/ark:/12148/cb13981550z#foaf:Person
G. Witting	Witting, Gerhard (1889-1982)	http://data.bnf.fr/ark:/12148/cb13981550z#foaf:Person
M Witting	Witting, Gerhard (1889-1982)	http://data.bnf.fr/ark:/12148/cb13981550z#foaf:Person
M Gerhard Witting	Witting, Gerhard (1889-1982)	http://data.bnf.fr/ark:/12148/cb13981550z#foaf:Person
M. Witting	Witting, Gerhard (1889-1982)	http://data.bnf.fr/ark:/12148/cb13981550z#foaf:Person
M. Gerhard Witting	Witting, Gerhard (1889-1982)	http://data.bnf.fr/ark:/12148/cb13981550z#foaf:Person
Gustav Wolff	Wolff, Gustav (1865-1941)	http://data.bnf.fr/ark:/12148/cb120065159#foaf:Person
Wolff	Wolff, Gustav (1865-1941)	http://data.bnf.fr/ark:/12148/cb120065159#foaf:Person
G Wolff	Wolff, Gustav (1865-1941)	http://data.bnf.fr/ark:/12148/cb120065159#foaf:Person
G. Wolff	Wolff, Gustav (1865-1941)	http://data.bnf.fr/ark:/12148/cb120065159#foaf:Person
M Wolff	Wolff, Gustav (1865-1941)	http://data.bnf.fr/ark:/12148/cb120065159#foaf:Person
M Gustav Wolff	Wolff, Gustav (1865-1941)	http://data.bnf.fr/ark:/12148/cb120065159#foaf:Person
M. Wolff	Wolff, Gustav (1865-1941)	http://data.bnf.fr/ark:/12148/cb120065159#foaf:Person
M. Gustav Wolff	Wolff, Gustav (1865-1941)	http://data.bnf.fr/ark:/12148/cb120065159#foaf:Person
Carl Weyman	Weyman, Carl (1862-1931)	http://data.bnf.fr/ark:/12148/cb10259511r#foaf:Person
Weyman	Weyman, Carl (1862-1931)	http://data.bnf.fr/ark:/12148/cb10259511r#foaf:Person
C Weyman	Weyman, Carl (1862-1931)	http://data.bnf.fr/ark:/12148/cb10259511r#foaf:Person
C. Weyman	Weyman, Carl (1862-1931)	http://data.bnf.fr/ark:/12148/cb10259511r#foaf:Person
M Weyman	Weyman, Carl (1862-1931)	http://data.bnf.fr/ark:/12148/cb10259511r#foaf:Person
M Carl Weyman	Weyman, Carl (1862-1931)	http://data.bnf.fr/ark:/12148/cb10259511r#foaf:Person
M. Weyman	Weyman, Carl (1862-1931)	http://data.bnf.fr/ark:/12148/cb10259511r#foaf:Person
M. Carl Weyman	Weyman, Carl (1862-1931)	http://data.bnf.fr/ark:/12148/cb10259511r#foaf:Person
Andrew Kay Womrath	Womrath, Andrew Kay (1869--)	http://data.bnf.fr/ark:/12148/cb14960590p#foaf:Person
Womrath	Womrath, Andrew Kay (1869--)	http://data.bnf.fr/ark:/12148/cb14960590p#foaf:Person
A K Womrath	Womrath, Andrew Kay (1869--)	http://data.bnf.fr/ark:/12148/cb14960590p#foaf:Person
A. K. Womrath	Womrath, Andrew Kay (1869--)	http://data.bnf.fr/ark:/12148/cb14960590p#foaf:Person
M Womrath	Womrath, Andrew Kay (1869--)	http://data.bnf.fr/ark:/12148/cb14960590p#foaf:Person
M Andrew Kay Womrath	Womrath, Andrew Kay (1869--)	http://data.bnf.fr/ark:/12148/cb14960590p#foaf:Person
M. Womrath	Womrath, Andrew Kay (1869--)	http://data.bnf.fr/ark:/12148/cb14960590p#foaf:Person
M. Andrew Kay Womrath	Womrath, Andrew Kay (1869--)	http://data.bnf.fr/ark:/12148/cb14960590p#foaf:Person
Conrad Westpfahl	Westpfahl, Conrad (1891-1976)	http://data.bnf.fr/ark:/12148/cb135310903#foaf:Person	http://www.idref.fr/050654470
Westpfahl	Westpfahl, Conrad (1891-1976)	http://data.bnf.fr/ark:/12148/cb135310903#foaf:Person	http://www.idref.fr/050654470
C Westpfahl	Westpfahl, Conrad (1891-1976)	http://data.bnf.fr/ark:/12148/cb135310903#foaf:Person	http://www.idref.fr/050654470
C. Westpfahl	Westpfahl, Conrad (1891-1976)	http://data.bnf.fr/ark:/12148/cb135310903#foaf:Person	http://www.idref.fr/050654470
M Westpfahl	Westpfahl, Conrad (1891-1976)	http://data.bnf.fr/ark:/12148/cb135310903#foaf:Person	http://www.idref.fr/050654470
M Conrad Westpfahl	Westpfahl, Conrad (1891-1976)	http://data.bnf.fr/ark:/12148/cb135310903#foaf:Person	http://www.idref.fr/050654470
M. Westpfahl	Westpfahl, Conrad (1891-1976)	http://data.bnf.fr/ark:/12148/cb135310903#foaf:Person	http://www.idref.fr/050654470
M. Conrad Westpfahl	Westpfahl, Conrad (1891-1976)	http://data.bnf.fr/ark:/12148/cb135310903#foaf:Person	http://www.idref.fr/050654470
Donald Winnicott	Winnicott, Donald Woods (1896-1971)	http://data.bnf.fr/ark:/12148/cb11929290s#foaf:Person	http://dbpedia.org/resource/Donald_Winnicott	http://www.idref.fr/027198324
Donald Woods Winnicott	Winnicott, Donald Woods (1896-1971)	http://data.bnf.fr/ark:/12148/cb11929290s#foaf:Person	http://dbpedia.org/resource/Donald_Winnicott	http://www.idref.fr/027198324
Winnicott	Winnicott, Donald Woods (1896-1971)	http://data.bnf.fr/ark:/12148/cb11929290s#foaf:Person	http://dbpedia.org/resource/Donald_Winnicott	http://www.idref.fr/027198324
D W Winnicott	Winnicott, Donald Woods (1896-1971)	http://data.bnf.fr/ark:/12148/cb11929290s#foaf:Person	http://dbpedia.org/resource/Donald_Winnicott	http://www.idref.fr/027198324
D. W. Winnicott	Winnicott, Donald Woods (1896-1971)	http://data.bnf.fr/ark:/12148/cb11929290s#foaf:Person	http://dbpedia.org/resource/Donald_Winnicott	http://www.idref.fr/027198324
M Winnicott	Winnicott, Donald Woods (1896-1971)	http://data.bnf.fr/ark:/12148/cb11929290s#foaf:Person	http://dbpedia.org/resource/Donald_Winnicott	http://www.idref.fr/027198324
M Donald Woods Winnicott	Winnicott, Donald Woods (1896-1971)	http://data.bnf.fr/ark:/12148/cb11929290s#foaf:Person	http://dbpedia.org/resource/Donald_Winnicott	http://www.idref.fr/027198324
M. Winnicott	Winnicott, Donald Woods (1896-1971)	http://data.bnf.fr/ark:/12148/cb11929290s#foaf:Person	http://dbpedia.org/resource/Donald_Winnicott	http://www.idref.fr/027198324
M. Donald Woods Winnicott	Winnicott, Donald Woods (1896-1971)	http://data.bnf.fr/ark:/12148/cb11929290s#foaf:Person	http://dbpedia.org/resource/Donald_Winnicott	http://www.idref.fr/027198324
Alain Campbell White	White, Alain Campbell (1880-1951)	http://data.bnf.fr/ark:/12148/cb10561945z#foaf:Person
White	White, Alain Campbell (1880-1951)	http://data.bnf.fr/ark:/12148/cb10561945z#foaf:Person
A C White	White, Alain Campbell (1880-1951)	http://data.bnf.fr/ark:/12148/cb10561945z#foaf:Person
A. C. White	White, Alain Campbell (1880-1951)	http://data.bnf.fr/ark:/12148/cb10561945z#foaf:Person
M White	White, Alain Campbell (1880-1951)	http://data.bnf.fr/ark:/12148/cb10561945z#foaf:Person
M Alain Campbell White	White, Alain Campbell (1880-1951)	http://data.bnf.fr/ark:/12148/cb10561945z#foaf:Person
M. White	White, Alain Campbell (1880-1951)	http://data.bnf.fr/ark:/12148/cb10561945z#foaf:Person
M. Alain Campbell White	White, Alain Campbell (1880-1951)	http://data.bnf.fr/ark:/12148/cb10561945z#foaf:Person
Friedrich Welwitsch	Welwitsch, Friedrich (1806-1872)	http://data.bnf.fr/ark:/12148/cb12653819v#foaf:Person
Welwitsch	Welwitsch, Friedrich (1806-1872)	http://data.bnf.fr/ark:/12148/cb12653819v#foaf:Person
F Welwitsch	Welwitsch, Friedrich (1806-1872)	http://data.bnf.fr/ark:/12148/cb12653819v#foaf:Person
F. Welwitsch	Welwitsch, Friedrich (1806-1872)	http://data.bnf.fr/ark:/12148/cb12653819v#foaf:Person
M Welwitsch	Welwitsch, Friedrich (1806-1872)	http://data.bnf.fr/ark:/12148/cb12653819v#foaf:Person
M Friedrich Welwitsch	Welwitsch, Friedrich (1806-1872)	http://data.bnf.fr/ark:/12148/cb12653819v#foaf:Person
M. Welwitsch	Welwitsch, Friedrich (1806-1872)	http://data.bnf.fr/ark:/12148/cb12653819v#foaf:Person
M. Friedrich Welwitsch	Welwitsch, Friedrich (1806-1872)	http://data.bnf.fr/ark:/12148/cb12653819v#foaf:Person
Zdenĕk Wirth	Wirth, Zdenĕk (1878-1961)	http://data.bnf.fr/ark:/12148/cb128052446#foaf:Person	http://www.idref.fr/061418854
Wirth	Wirth, Zdenĕk (1878-1961)	http://data.bnf.fr/ark:/12148/cb128052446#foaf:Person	http://www.idref.fr/061418854
Z Wirth	Wirth, Zdenĕk (1878-1961)	http://data.bnf.fr/ark:/12148/cb128052446#foaf:Person	http://www.idref.fr/061418854
Z. Wirth	Wirth, Zdenĕk (1878-1961)	http://data.bnf.fr/ark:/12148/cb128052446#foaf:Person	http://www.idref.fr/061418854
M Wirth	Wirth, Zdenĕk (1878-1961)	http://data.bnf.fr/ark:/12148/cb128052446#foaf:Person	http://www.idref.fr/061418854
M Zdenĕk Wirth	Wirth, Zdenĕk (1878-1961)	http://data.bnf.fr/ark:/12148/cb128052446#foaf:Person	http://www.idref.fr/061418854
M. Wirth	Wirth, Zdenĕk (1878-1961)	http://data.bnf.fr/ark:/12148/cb128052446#foaf:Person	http://www.idref.fr/061418854
M. Zdenĕk Wirth	Wirth, Zdenĕk (1878-1961)	http://data.bnf.fr/ark:/12148/cb128052446#foaf:Person	http://www.idref.fr/061418854
Heinrich Wandt	Wandt, Heinrich (1890-1955)	http://data.bnf.fr/ark:/12148/cb169156954#foaf:Person
Wandt	Wandt, Heinrich (1890-1955)	http://data.bnf.fr/ark:/12148/cb169156954#foaf:Person
H Wandt	Wandt, Heinrich (1890-1955)	http://data.bnf.fr/ark:/12148/cb169156954#foaf:Person
H. Wandt	Wandt, Heinrich (1890-1955)	http://data.bnf.fr/ark:/12148/cb169156954#foaf:Person
M Wandt	Wandt, Heinrich (1890-1955)	http://data.bnf.fr/ark:/12148/cb169156954#foaf:Person
M Heinrich Wandt	Wandt, Heinrich (1890-1955)	http://data.bnf.fr/ark:/12148/cb169156954#foaf:Person
M. Wandt	Wandt, Heinrich (1890-1955)	http://data.bnf.fr/ark:/12148/cb169156954#foaf:Person
M. Heinrich Wandt	Wandt, Heinrich (1890-1955)	http://data.bnf.fr/ark:/12148/cb169156954#foaf:Person
***	Weyerman, Jacob Campo (1677-1747)	http://data.bnf.fr/ark:/12148/cb121559606#foaf:Person	http://www.idref.fr/030069351
Jacob Campo Weyerman	Weyerman, Jacob Campo (1677-1747)	http://data.bnf.fr/ark:/12148/cb121559606#foaf:Person	http://www.idref.fr/030069351
Weyerman	Weyerman, Jacob Campo (1677-1747)	http://data.bnf.fr/ark:/12148/cb121559606#foaf:Person	http://www.idref.fr/030069351
J C Weyerman	Weyerman, Jacob Campo (1677-1747)	http://data.bnf.fr/ark:/12148/cb121559606#foaf:Person	http://www.idref.fr/030069351
J. C. Weyerman	Weyerman, Jacob Campo (1677-1747)	http://data.bnf.fr/ark:/12148/cb121559606#foaf:Person	http://www.idref.fr/030069351
M Weyerman	Weyerman, Jacob Campo (1677-1747)	http://data.bnf.fr/ark:/12148/cb121559606#foaf:Person	http://www.idref.fr/030069351
M Jacob Campo Weyerman	Weyerman, Jacob Campo (1677-1747)	http://data.bnf.fr/ark:/12148/cb121559606#foaf:Person	http://www.idref.fr/030069351
M. Weyerman	Weyerman, Jacob Campo (1677-1747)	http://data.bnf.fr/ark:/12148/cb121559606#foaf:Person	http://www.idref.fr/030069351
