Theodor von Zahn	Zahn, Theodor (1838-1933)	http://data.bnf.fr/ark:/12148/cb125179836#foaf:Person	http://www.idref.fr/074066978
Zumsteeg	Zumsteeg, Johann Rudolf (1760-1802)	http://data.bnf.fr/ark:/12148/cb139014443#foaf:Person	http://dbpedia.org/resource/Johann_Rudolf_Zumsteeg	http://www.idref.fr/080809766
J R Zumsteeg	Zumsteeg, Johann Rudolf (1760-1802)	http://data.bnf.fr/ark:/12148/cb139014443#foaf:Person	http://dbpedia.org/resource/Johann_Rudolf_Zumsteeg	http://www.idref.fr/080809766
M Johann Rudolf Zumsteeg	Zumsteeg, Johann Rudolf (1760-1802)	http://data.bnf.fr/ark:/12148/cb139014443#foaf:Person	http://dbpedia.org/resource/Johann_Rudolf_Zumsteeg	http://www.idref.fr/080809766
M. Johann Rudolf Zumsteeg	Zumsteeg, Johann Rudolf (1760-1802)	http://data.bnf.fr/ark:/12148/cb139014443#foaf:Person	http://dbpedia.org/resource/Johann_Rudolf_Zumsteeg	http://www.idref.fr/080809766
Johann Rudolf Zumsteeg	Zumsteeg, Johann Rudolf (1760-1802)	http://data.bnf.fr/ark:/12148/cb139014443#foaf:Person	http://dbpedia.org/resource/Johann_Rudolf_Zumsteeg	http://www.idref.fr/080809766
赵元任	Zhao, Yuan Ren (1892-1982)	http://data.bnf.fr/ark:/12148/cb109416500#foaf:Person	http://dbpedia.org/resource/Chao_Yuen_Ren	http://www.idref.fr/069352305
Y. R. Zhao	Zhao, Yuan Ren (1892-1982)	http://data.bnf.fr/ark:/12148/cb109416500#foaf:Person	http://dbpedia.org/resource/Chao_Yuen_Ren	http://www.idref.fr/069352305
Yuan Ren Zhao	Zhao, Yuan Ren (1892-1982)	http://data.bnf.fr/ark:/12148/cb109416500#foaf:Person	http://dbpedia.org/resource/Chao_Yuen_Ren	http://www.idref.fr/069352305
Zhao	Zhao, Yuan Ren (1892-1982)	http://data.bnf.fr/ark:/12148/cb109416500#foaf:Person	http://dbpedia.org/resource/Chao_Yuen_Ren	http://www.idref.fr/069352305
M Yuan Ren Zhao	Zhao, Yuan Ren (1892-1982)	http://data.bnf.fr/ark:/12148/cb109416500#foaf:Person	http://dbpedia.org/resource/Chao_Yuen_Ren	http://www.idref.fr/069352305
M. Zhao	Zhao, Yuan Ren (1892-1982)	http://data.bnf.fr/ark:/12148/cb109416500#foaf:Person	http://dbpedia.org/resource/Chao_Yuen_Ren	http://www.idref.fr/069352305
M. Yuan Ren Zhao	Zhao, Yuan Ren (1892-1982)	http://data.bnf.fr/ark:/12148/cb109416500#foaf:Person	http://dbpedia.org/resource/Chao_Yuen_Ren	http://www.idref.fr/069352305
Y R Zhao	Zhao, Yuan Ren (1892-1982)	http://data.bnf.fr/ark:/12148/cb109416500#foaf:Person	http://dbpedia.org/resource/Chao_Yuen_Ren	http://www.idref.fr/069352305
M Zhao	Zhao, Yuan Ren (1892-1982)	http://data.bnf.fr/ark:/12148/cb109416500#foaf:Person	http://dbpedia.org/resource/Chao_Yuen_Ren	http://www.idref.fr/069352305
Yuän- jen Chao	Zhao, Yuan Ren (1892-1982)	http://data.bnf.fr/ark:/12148/cb109416500#foaf:Person	http://dbpedia.org/resource/Chao_Yuen_Ren	http://www.idref.fr/069352305
Yuen Ren Chao	Zhao, Yuan Ren (1892-1982)	http://data.bnf.fr/ark:/12148/cb109416500#foaf:Person	http://dbpedia.org/resource/Chao_Yuen_Ren	http://www.idref.fr/069352305
Yuanren Zhao	Zhao, Yuan Ren (1892-1982)	http://data.bnf.fr/ark:/12148/cb109416500#foaf:Person	http://dbpedia.org/resource/Chao_Yuen_Ren	http://www.idref.fr/069352305
Yen-ten Chao	Zhao, Yuan Ren (1892-1982)	http://data.bnf.fr/ark:/12148/cb109416500#foaf:Person	http://dbpedia.org/resource/Chao_Yuen_Ren	http://www.idref.fr/069352305
Zhao Yuan Ren	Zhao, Yuan Ren (1892-1982)	http://data.bnf.fr/ark:/12148/cb109416500#foaf:Person	http://dbpedia.org/resource/Chao_Yuen_Ren	http://www.idref.fr/069352305
Yuanrenn Jaw	Zhao, Yuan Ren (1892-1982)	http://data.bnf.fr/ark:/12148/cb109416500#foaf:Person	http://dbpedia.org/resource/Chao_Yuen_Ren	http://www.idref.fr/069352305
Aloysius Zannettus	Zanetti, Luigi (1560-1611)	http://data.bnf.fr/ark:/12148/cb12337100j#foaf:Person	http://www.idref.fr/075701030	http://www.idref.fr/177412607
Luigi Zanetti	Zanetti, Luigi (1560-1611)	http://data.bnf.fr/ark:/12148/cb12337100j#foaf:Person	http://www.idref.fr/075701030	http://www.idref.fr/177412607
M. Zanetti	Zanetti, Luigi (1560-1611)	http://data.bnf.fr/ark:/12148/cb12337100j#foaf:Person	http://www.idref.fr/075701030	http://www.idref.fr/177412607
M Zanetti	Zanetti, Luigi (1560-1611)	http://data.bnf.fr/ark:/12148/cb12337100j#foaf:Person	http://www.idref.fr/075701030	http://www.idref.fr/177412607
M. Luigi Zanetti	Zanetti, Luigi (1560-1611)	http://data.bnf.fr/ark:/12148/cb12337100j#foaf:Person	http://www.idref.fr/075701030	http://www.idref.fr/177412607
L Zanetti	Zanetti, Luigi (1560-1611)	http://data.bnf.fr/ark:/12148/cb12337100j#foaf:Person	http://www.idref.fr/075701030	http://www.idref.fr/177412607
M Luigi Zanetti	Zanetti, Luigi (1560-1611)	http://data.bnf.fr/ark:/12148/cb12337100j#foaf:Person	http://www.idref.fr/075701030	http://www.idref.fr/177412607
L. Zanetti	Zanetti, Luigi (1560-1611)	http://data.bnf.fr/ark:/12148/cb12337100j#foaf:Person	http://www.idref.fr/075701030	http://www.idref.fr/177412607
Zanetti	Zanetti, Luigi (1560-1611)	http://data.bnf.fr/ark:/12148/cb12337100j#foaf:Person	http://www.idref.fr/075701030	http://www.idref.fr/177412607
Luigi Zannetti	Zanetti, Luigi (1560-1611)	http://data.bnf.fr/ark:/12148/cb12337100j#foaf:Person	http://www.idref.fr/075701030	http://www.idref.fr/177412607
Ludovicus Zdekauer	Zdekauer, Lodovico (1855-1924)	http://data.bnf.fr/ark:/12148/cb12976014k#foaf:Person	http://www.idref.fr/032785437
M Lodovico Zdekauer	Zdekauer, Lodovico (1855-1924)	http://data.bnf.fr/ark:/12148/cb12976014k#foaf:Person	http://www.idref.fr/032785437
M. Lodovico Zdekauer	Zdekauer, Lodovico (1855-1924)	http://data.bnf.fr/ark:/12148/cb12976014k#foaf:Person	http://www.idref.fr/032785437
Zdekauer	Zdekauer, Lodovico (1855-1924)	http://data.bnf.fr/ark:/12148/cb12976014k#foaf:Person	http://www.idref.fr/032785437
L. Zdekauer	Zdekauer, Lodovico (1855-1924)	http://data.bnf.fr/ark:/12148/cb12976014k#foaf:Person	http://www.idref.fr/032785437
L Zdekauer	Zdekauer, Lodovico (1855-1924)	http://data.bnf.fr/ark:/12148/cb12976014k#foaf:Person	http://www.idref.fr/032785437
M Zdekauer	Zdekauer, Lodovico (1855-1924)	http://data.bnf.fr/ark:/12148/cb12976014k#foaf:Person	http://www.idref.fr/032785437
Lodovico Zdekauer	Zdekauer, Lodovico (1855-1924)	http://data.bnf.fr/ark:/12148/cb12976014k#foaf:Person	http://www.idref.fr/032785437
M. Zdekauer	Zdekauer, Lodovico (1855-1924)	http://data.bnf.fr/ark:/12148/cb12976014k#foaf:Person	http://www.idref.fr/032785437
Ludovico Zdekauer	Zdekauer, Lodovico (1855-1924)	http://data.bnf.fr/ark:/12148/cb12976014k#foaf:Person	http://www.idref.fr/032785437
Zichy	Zichy, Mihály (1827-1906)	http://data.bnf.fr/ark:/12148/cb14967265b#foaf:Person	http://dbpedia.org/resource/Mihály_Zichy	http://www.idref.fr/139190511
M Zichy	Zichy, Mihály (1827-1906)	http://data.bnf.fr/ark:/12148/cb14967265b#foaf:Person	http://dbpedia.org/resource/Mihály_Zichy	http://www.idref.fr/139190511
M Mihály Zichy	Zichy, Mihály (1827-1906)	http://data.bnf.fr/ark:/12148/cb14967265b#foaf:Person	http://dbpedia.org/resource/Mihály_Zichy	http://www.idref.fr/139190511
M. Mihály Zichy	Zichy, Mihály (1827-1906)	http://data.bnf.fr/ark:/12148/cb14967265b#foaf:Person	http://dbpedia.org/resource/Mihály_Zichy	http://www.idref.fr/139190511
Mihály Zichy	Zichy, Mihály (1827-1906)	http://data.bnf.fr/ark:/12148/cb14967265b#foaf:Person	http://dbpedia.org/resource/Mihály_Zichy	http://www.idref.fr/139190511
M. Zichy	Zichy, Mihály (1827-1906)	http://data.bnf.fr/ark:/12148/cb14967265b#foaf:Person	http://dbpedia.org/resource/Mihály_Zichy	http://www.idref.fr/139190511
Carl Zittel	Zittel, Karl Alfred von (1839-1904)	http://data.bnf.fr/ark:/12148/cb130124173#foaf:Person	http://dbpedia.org/resource/Karl_Alfred_von_Zittel	http://www.idref.fr/050143859
von Zittel	Zittel, Karl Alfred von (1839-1904)	http://data.bnf.fr/ark:/12148/cb130124173#foaf:Person	http://dbpedia.org/resource/Karl_Alfred_von_Zittel	http://www.idref.fr/050143859
Karl Alfred von Zittel	Zittel, Karl Alfred von (1839-1904)	http://data.bnf.fr/ark:/12148/cb130124173#foaf:Person	http://dbpedia.org/resource/Karl_Alfred_von_Zittel	http://www.idref.fr/050143859
Zittel	Zittel, Karl Alfred von (1839-1904)	http://data.bnf.fr/ark:/12148/cb130124173#foaf:Person	http://dbpedia.org/resource/Karl_Alfred_von_Zittel	http://www.idref.fr/050143859
M. Karl Alfred von Zittel	Zittel, Karl Alfred von (1839-1904)	http://data.bnf.fr/ark:/12148/cb130124173#foaf:Person	http://dbpedia.org/resource/Karl_Alfred_von_Zittel	http://www.idref.fr/050143859
K A Von Zittel	Zittel, Karl Alfred von (1839-1904)	http://data.bnf.fr/ark:/12148/cb130124173#foaf:Person	http://dbpedia.org/resource/Karl_Alfred_von_Zittel	http://www.idref.fr/050143859
M Karl Alfred von Zittel	Zittel, Karl Alfred von (1839-1904)	http://data.bnf.fr/ark:/12148/cb130124173#foaf:Person	http://dbpedia.org/resource/Karl_Alfred_von_Zittel	http://www.idref.fr/050143859
K. A. Von Zittel	Zittel, Karl Alfred von (1839-1904)	http://data.bnf.fr/ark:/12148/cb130124173#foaf:Person	http://dbpedia.org/resource/Karl_Alfred_von_Zittel	http://www.idref.fr/050143859
M. von Zittel	Zittel, Karl Alfred von (1839-1904)	http://data.bnf.fr/ark:/12148/cb130124173#foaf:Person	http://dbpedia.org/resource/Karl_Alfred_von_Zittel	http://www.idref.fr/050143859
M Von Zittel	Zittel, Karl Alfred von (1839-1904)	http://data.bnf.fr/ark:/12148/cb130124173#foaf:Person	http://dbpedia.org/resource/Karl_Alfred_von_Zittel	http://www.idref.fr/050143859
K. A. Zittel	Zittel, Karl Alfred von (1839-1904)	http://data.bnf.fr/ark:/12148/cb130124173#foaf:Person	http://dbpedia.org/resource/Karl_Alfred_von_Zittel	http://www.idref.fr/050143859
M. Zittel	Zittel, Karl Alfred von (1839-1904)	http://data.bnf.fr/ark:/12148/cb130124173#foaf:Person	http://dbpedia.org/resource/Karl_Alfred_von_Zittel	http://www.idref.fr/050143859
Von Zittel	Zittel, Karl Alfred von (1839-1904)	http://data.bnf.fr/ark:/12148/cb130124173#foaf:Person	http://dbpedia.org/resource/Karl_Alfred_von_Zittel	http://www.idref.fr/050143859
K A Zittel	Zittel, Karl Alfred von (1839-1904)	http://data.bnf.fr/ark:/12148/cb130124173#foaf:Person	http://dbpedia.org/resource/Karl_Alfred_von_Zittel	http://www.idref.fr/050143859
M von Zittel	Zittel, Karl Alfred von (1839-1904)	http://data.bnf.fr/ark:/12148/cb130124173#foaf:Person	http://dbpedia.org/resource/Karl_Alfred_von_Zittel	http://www.idref.fr/050143859
K A von Zittel	Zittel, Karl Alfred von (1839-1904)	http://data.bnf.fr/ark:/12148/cb130124173#foaf:Person	http://dbpedia.org/resource/Karl_Alfred_von_Zittel	http://www.idref.fr/050143859
M Zittel	Zittel, Karl Alfred von (1839-1904)	http://data.bnf.fr/ark:/12148/cb130124173#foaf:Person	http://dbpedia.org/resource/Karl_Alfred_von_Zittel	http://www.idref.fr/050143859
K. A. von Zittel	Zittel, Karl Alfred von (1839-1904)	http://data.bnf.fr/ark:/12148/cb130124173#foaf:Person	http://dbpedia.org/resource/Karl_Alfred_von_Zittel	http://www.idref.fr/050143859
M. Von Zittel	Zittel, Karl Alfred von (1839-1904)	http://data.bnf.fr/ark:/12148/cb130124173#foaf:Person	http://dbpedia.org/resource/Karl_Alfred_von_Zittel	http://www.idref.fr/050143859
Karl Zittel	Zittel, Karl Alfred von (1839-1904)	http://data.bnf.fr/ark:/12148/cb130124173#foaf:Person	http://dbpedia.org/resource/Karl_Alfred_von_Zittel	http://www.idref.fr/050143859
Carl Alfred Zittel	Zittel, Karl Alfred von (1839-1904)	http://data.bnf.fr/ark:/12148/cb130124173#foaf:Person	http://dbpedia.org/resource/Karl_Alfred_von_Zittel	http://www.idref.fr/050143859
Heinrich Zimmer	Zimmer, Heinrich Robert (1890-1943)	http://data.bnf.fr/ark:/12148/cb119137310#foaf:Person	http://dbpedia.org/resource/Heinrich_Zimmer
Zimmer	Zimmer, Heinrich Robert (1890-1943)	http://data.bnf.fr/ark:/12148/cb119137310#foaf:Person	http://dbpedia.org/resource/Heinrich_Zimmer
H. R. Zimmer	Zimmer, Heinrich Robert (1890-1943)	http://data.bnf.fr/ark:/12148/cb119137310#foaf:Person	http://dbpedia.org/resource/Heinrich_Zimmer
M. Heinrich Robert Zimmer	Zimmer, Heinrich Robert (1890-1943)	http://data.bnf.fr/ark:/12148/cb119137310#foaf:Person	http://dbpedia.org/resource/Heinrich_Zimmer
M Heinrich Robert Zimmer	Zimmer, Heinrich Robert (1890-1943)	http://data.bnf.fr/ark:/12148/cb119137310#foaf:Person	http://dbpedia.org/resource/Heinrich_Zimmer
Heinrich Robert Zimmer	Zimmer, Heinrich Robert (1890-1943)	http://data.bnf.fr/ark:/12148/cb119137310#foaf:Person	http://dbpedia.org/resource/Heinrich_Zimmer
M. Zimmer	Zimmer, Heinrich Robert (1890-1943)	http://data.bnf.fr/ark:/12148/cb119137310#foaf:Person	http://dbpedia.org/resource/Heinrich_Zimmer
H R Zimmer	Zimmer, Heinrich Robert (1890-1943)	http://data.bnf.fr/ark:/12148/cb119137310#foaf:Person	http://dbpedia.org/resource/Heinrich_Zimmer
M Zimmer	Zimmer, Heinrich Robert (1890-1943)	http://data.bnf.fr/ark:/12148/cb119137310#foaf:Person	http://dbpedia.org/resource/Heinrich_Zimmer
Henry Robert Zimmer	Zimmer, Heinrich Robert (1890-1943)	http://data.bnf.fr/ark:/12148/cb119137310#foaf:Person	http://dbpedia.org/resource/Heinrich_Zimmer
Siming Zhili	Zhili	http://data.bnf.fr/ark:/12148/cb14525663r#foaf:Person
M. Zhili	Zhili	http://data.bnf.fr/ark:/12148/cb14525663r#foaf:Person
M Zhili	Zhili	http://data.bnf.fr/ark:/12148/cb14525663r#foaf:Person
Zhili	Zhili	http://data.bnf.fr/ark:/12148/cb14525663r#foaf:Person
Chirei	Zhili	http://data.bnf.fr/ark:/12148/cb14525663r#foaf:Person
Yueyan Jin	Zhili	http://data.bnf.fr/ark:/12148/cb14525663r#foaf:Person
Chih-li	Zhili	http://data.bnf.fr/ark:/12148/cb14525663r#foaf:Person
Shih Chih-li	Zhili	http://data.bnf.fr/ark:/12148/cb14525663r#foaf:Person
Yueh-yen Chin	Zhili	http://data.bnf.fr/ark:/12148/cb14525663r#foaf:Person
P.R.Z.	Zuber, Paul René (1898-1992)	http://data.bnf.fr/ark:/12148/cb12653824f#foaf:Person	http://www.idref.fr/158656148
M Zuber	Zuber, Paul René (1898-1992)	http://data.bnf.fr/ark:/12148/cb12653824f#foaf:Person	http://www.idref.fr/158656148
M Paul René Zuber	Zuber, Paul René (1898-1992)	http://data.bnf.fr/ark:/12148/cb12653824f#foaf:Person	http://www.idref.fr/158656148
Paul René Zuber	Zuber, Paul René (1898-1992)	http://data.bnf.fr/ark:/12148/cb12653824f#foaf:Person	http://www.idref.fr/158656148
M. Zuber	Zuber, Paul René (1898-1992)	http://data.bnf.fr/ark:/12148/cb12653824f#foaf:Person	http://www.idref.fr/158656148
M. Paul René Zuber	Zuber, Paul René (1898-1992)	http://data.bnf.fr/ark:/12148/cb12653824f#foaf:Person	http://www.idref.fr/158656148
P R Zuber	Zuber, Paul René (1898-1992)	http://data.bnf.fr/ark:/12148/cb12653824f#foaf:Person	http://www.idref.fr/158656148
Zuber	Zuber, Paul René (1898-1992)	http://data.bnf.fr/ark:/12148/cb12653824f#foaf:Person	http://www.idref.fr/158656148
P. R. Zuber	Zuber, Paul René (1898-1992)	http://data.bnf.fr/ark:/12148/cb12653824f#foaf:Person	http://www.idref.fr/158656148
Matthäus Zell	Zell, Matthäus (1477-1548)	http://data.bnf.fr/ark:/12148/cb12550499b#foaf:Person	http://www.idref.fr/034787836
Zell	Zell, Matthäus (1477-1548)	http://data.bnf.fr/ark:/12148/cb12550499b#foaf:Person	http://www.idref.fr/034787836
M. Zell	Zell, Matthäus (1477-1548)	http://data.bnf.fr/ark:/12148/cb12550499b#foaf:Person	http://www.idref.fr/034787836
M Zell	Zell, Matthäus (1477-1548)	http://data.bnf.fr/ark:/12148/cb12550499b#foaf:Person	http://www.idref.fr/034787836
M. Matthäus Zell	Zell, Matthäus (1477-1548)	http://data.bnf.fr/ark:/12148/cb12550499b#foaf:Person	http://www.idref.fr/034787836
M Matthäus Zell	Zell, Matthäus (1477-1548)	http://data.bnf.fr/ark:/12148/cb12550499b#foaf:Person	http://www.idref.fr/034787836
Ci yun chan zhu	Zun shi	http://data.bnf.fr/ark:/12148/cb156575391#foaf:Person
Zun shi	Zun shi	http://data.bnf.fr/ark:/12148/cb156575391#foaf:Person
M Zun shi	Zun shi	http://data.bnf.fr/ark:/12148/cb156575391#foaf:Person
M. Zun shi	Zun shi	http://data.bnf.fr/ark:/12148/cb156575391#foaf:Person
Zhi bai	Zun shi	http://data.bnf.fr/ark:/12148/cb156575391#foaf:Person
遵式	Zun shi	http://data.bnf.fr/ark:/12148/cb156575391#foaf:Person
Tsouen che	Zun shi	http://data.bnf.fr/ark:/12148/cb156575391#foaf:Person
Tsun shih	Zun shi	http://data.bnf.fr/ark:/12148/cb156575391#foaf:Person
Zunshi	Zun shi	http://data.bnf.fr/ark:/12148/cb156575391#foaf:Person
Shi Zun	Zun shi	http://data.bnf.fr/ark:/12148/cb156575391#foaf:Person
Ciyun chanzhu	Zun shi	http://data.bnf.fr/ark:/12148/cb156575391#foaf:Person
Shi Zun shi	Zun shi	http://data.bnf.fr/ark:/12148/cb156575391#foaf:Person
Carlo Brighi	Zaclèn (1853-1915)	http://data.bnf.fr/ark:/12148/cb121995392#foaf:Person
M Zaclèn	Zaclèn (1853-1915)	http://data.bnf.fr/ark:/12148/cb121995392#foaf:Person
M. Zaclèn	Zaclèn (1853-1915)	http://data.bnf.fr/ark:/12148/cb121995392#foaf:Person
Zaclèn	Zaclèn (1853-1915)	http://data.bnf.fr/ark:/12148/cb121995392#foaf:Person
Panagiōtēs Zerbos	Zervos, Panagiotis (1878-1952)	http://data.bnf.fr/ark:/12148/cb12377689b#foaf:Person	http://www.idref.fr/032821980
Panagiotis Zervos	Zervos, Panagiotis (1878-1952)	http://data.bnf.fr/ark:/12148/cb12377689b#foaf:Person	http://www.idref.fr/032821980
M. Zervos	Zervos, Panagiotis (1878-1952)	http://data.bnf.fr/ark:/12148/cb12377689b#foaf:Person	http://www.idref.fr/032821980
Zervos	Zervos, Panagiotis (1878-1952)	http://data.bnf.fr/ark:/12148/cb12377689b#foaf:Person	http://www.idref.fr/032821980
M Zervos	Zervos, Panagiotis (1878-1952)	http://data.bnf.fr/ark:/12148/cb12377689b#foaf:Person	http://www.idref.fr/032821980
P. Zervos	Zervos, Panagiotis (1878-1952)	http://data.bnf.fr/ark:/12148/cb12377689b#foaf:Person	http://www.idref.fr/032821980
P Zervos	Zervos, Panagiotis (1878-1952)	http://data.bnf.fr/ark:/12148/cb12377689b#foaf:Person	http://www.idref.fr/032821980
M Panagiotis Zervos	Zervos, Panagiotis (1878-1952)	http://data.bnf.fr/ark:/12148/cb12377689b#foaf:Person	http://www.idref.fr/032821980
M. Panagiotis Zervos	Zervos, Panagiotis (1878-1952)	http://data.bnf.fr/ark:/12148/cb12377689b#foaf:Person	http://www.idref.fr/032821980
Panajiotis Zervos	Zervos, Panagiotis (1878-1952)	http://data.bnf.fr/ark:/12148/cb12377689b#foaf:Person	http://www.idref.fr/032821980
Heinrich Matthias Zoepfl	Zöpfl, Heinrich Matthias (1807-1877)	http://data.bnf.fr/ark:/12148/cb12368029v#foaf:Person	http://www.idref.fr/079821510
M. Zöpfl	Zöpfl, Heinrich Matthias (1807-1877)	http://data.bnf.fr/ark:/12148/cb12368029v#foaf:Person	http://www.idref.fr/079821510
M. Heinrich Matthias Zöpfl	Zöpfl, Heinrich Matthias (1807-1877)	http://data.bnf.fr/ark:/12148/cb12368029v#foaf:Person	http://www.idref.fr/079821510
Heinrich Matthias Zöpfl	Zöpfl, Heinrich Matthias (1807-1877)	http://data.bnf.fr/ark:/12148/cb12368029v#foaf:Person	http://www.idref.fr/079821510
M Zöpfl	Zöpfl, Heinrich Matthias (1807-1877)	http://data.bnf.fr/ark:/12148/cb12368029v#foaf:Person	http://www.idref.fr/079821510
H. M. Zöpfl	Zöpfl, Heinrich Matthias (1807-1877)	http://data.bnf.fr/ark:/12148/cb12368029v#foaf:Person	http://www.idref.fr/079821510
H M Zöpfl	Zöpfl, Heinrich Matthias (1807-1877)	http://data.bnf.fr/ark:/12148/cb12368029v#foaf:Person	http://www.idref.fr/079821510
M Heinrich Matthias Zöpfl	Zöpfl, Heinrich Matthias (1807-1877)	http://data.bnf.fr/ark:/12148/cb12368029v#foaf:Person	http://www.idref.fr/079821510
Zöpfl	Zöpfl, Heinrich Matthias (1807-1877)	http://data.bnf.fr/ark:/12148/cb12368029v#foaf:Person	http://www.idref.fr/079821510
M. Zuidema	Zuidema, Willem (1770-1848)	http://data.bnf.fr/ark:/12148/cb14483514v#foaf:Person
Willem Zuidema	Zuidema, Willem (1770-1848)	http://data.bnf.fr/ark:/12148/cb14483514v#foaf:Person
M Willem Zuidema	Zuidema, Willem (1770-1848)	http://data.bnf.fr/ark:/12148/cb14483514v#foaf:Person
M Zuidema	Zuidema, Willem (1770-1848)	http://data.bnf.fr/ark:/12148/cb14483514v#foaf:Person
M. Willem Zuidema	Zuidema, Willem (1770-1848)	http://data.bnf.fr/ark:/12148/cb14483514v#foaf:Person
Zuidema	Zuidema, Willem (1770-1848)	http://data.bnf.fr/ark:/12148/cb14483514v#foaf:Person
W Zuidema	Zuidema, Willem (1770-1848)	http://data.bnf.fr/ark:/12148/cb14483514v#foaf:Person
W. Zuidema	Zuidema, Willem (1770-1848)	http://data.bnf.fr/ark:/12148/cb14483514v#foaf:Person
Zucchini	Zucchini, Giovanni (1812-1891)	http://data.bnf.fr/ark:/12148/cb15974265z#foaf:Person
M Zucchini	Zucchini, Giovanni (1812-1891)	http://data.bnf.fr/ark:/12148/cb15974265z#foaf:Person
G Zucchini	Zucchini, Giovanni (1812-1891)	http://data.bnf.fr/ark:/12148/cb15974265z#foaf:Person
G. Zucchini	Zucchini, Giovanni (1812-1891)	http://data.bnf.fr/ark:/12148/cb15974265z#foaf:Person
M. Zucchini	Zucchini, Giovanni (1812-1891)	http://data.bnf.fr/ark:/12148/cb15974265z#foaf:Person
Giovanni Zucchini	Zucchini, Giovanni (1812-1891)	http://data.bnf.fr/ark:/12148/cb15974265z#foaf:Person
M Giovanni Zucchini	Zucchini, Giovanni (1812-1891)	http://data.bnf.fr/ark:/12148/cb15974265z#foaf:Person
M. Giovanni Zucchini	Zucchini, Giovanni (1812-1891)	http://data.bnf.fr/ark:/12148/cb15974265z#foaf:Person
Johann David I Zunner	Zunner, Johann David (1610-1653)	http://data.bnf.fr/ark:/12148/cb122395228#foaf:Person	http://www.idref.fr/113789076
Johann David Zunner	Zunner, Johann David (1610-1653)	http://data.bnf.fr/ark:/12148/cb122395228#foaf:Person	http://www.idref.fr/113789076
Zunner	Zunner, Johann David (1610-1653)	http://data.bnf.fr/ark:/12148/cb122395228#foaf:Person	http://www.idref.fr/113789076
M Johann David Zunner	Zunner, Johann David (1610-1653)	http://data.bnf.fr/ark:/12148/cb122395228#foaf:Person	http://www.idref.fr/113789076
M Zunner	Zunner, Johann David (1610-1653)	http://data.bnf.fr/ark:/12148/cb122395228#foaf:Person	http://www.idref.fr/113789076
M. Johann David Zunner	Zunner, Johann David (1610-1653)	http://data.bnf.fr/ark:/12148/cb122395228#foaf:Person	http://www.idref.fr/113789076
J. D. Zunner	Zunner, Johann David (1610-1653)	http://data.bnf.fr/ark:/12148/cb122395228#foaf:Person	http://www.idref.fr/113789076
J D Zunner	Zunner, Johann David (1610-1653)	http://data.bnf.fr/ark:/12148/cb122395228#foaf:Person	http://www.idref.fr/113789076
M. Zunner	Zunner, Johann David (1610-1653)	http://data.bnf.fr/ark:/12148/cb122395228#foaf:Person	http://www.idref.fr/113789076
Johann David Zunner I	Zunner, Johann David (1610-1653)	http://data.bnf.fr/ark:/12148/cb122395228#foaf:Person	http://www.idref.fr/113789076
Petrus Zornius	Zorn, Peter (1682-1746)	http://data.bnf.fr/ark:/12148/cb10230585q#foaf:Person	http://dbpedia.org/resource/Peter_Zorn
P Zorn	Zorn, Peter (1682-1746)	http://data.bnf.fr/ark:/12148/cb10230585q#foaf:Person	http://dbpedia.org/resource/Peter_Zorn
Peter Zorn	Zorn, Peter (1682-1746)	http://data.bnf.fr/ark:/12148/cb10230585q#foaf:Person	http://dbpedia.org/resource/Peter_Zorn
M Peter Zorn	Zorn, Peter (1682-1746)	http://data.bnf.fr/ark:/12148/cb10230585q#foaf:Person	http://dbpedia.org/resource/Peter_Zorn
M. Peter Zorn	Zorn, Peter (1682-1746)	http://data.bnf.fr/ark:/12148/cb10230585q#foaf:Person	http://dbpedia.org/resource/Peter_Zorn
M Zorn	Zorn, Peter (1682-1746)	http://data.bnf.fr/ark:/12148/cb10230585q#foaf:Person	http://dbpedia.org/resource/Peter_Zorn
Zorn	Zorn, Peter (1682-1746)	http://data.bnf.fr/ark:/12148/cb10230585q#foaf:Person	http://dbpedia.org/resource/Peter_Zorn
M. Zorn	Zorn, Peter (1682-1746)	http://data.bnf.fr/ark:/12148/cb10230585q#foaf:Person	http://dbpedia.org/resource/Peter_Zorn
P. Zorn	Zorn, Peter (1682-1746)	http://data.bnf.fr/ark:/12148/cb10230585q#foaf:Person	http://dbpedia.org/resource/Peter_Zorn
Grigorios Georgiadis Zalykis	Zalíkoglou, Grīgórios (1776-1827)	http://data.bnf.fr/ark:/12148/cb106658434#foaf:Person
G. Zalíkoglou	Zalíkoglou, Grīgórios (1776-1827)	http://data.bnf.fr/ark:/12148/cb106658434#foaf:Person
M Zalíkoglou	Zalíkoglou, Grīgórios (1776-1827)	http://data.bnf.fr/ark:/12148/cb106658434#foaf:Person
M Grīgórios Zalíkoglou	Zalíkoglou, Grīgórios (1776-1827)	http://data.bnf.fr/ark:/12148/cb106658434#foaf:Person
M. Zalíkoglou	Zalíkoglou, Grīgórios (1776-1827)	http://data.bnf.fr/ark:/12148/cb106658434#foaf:Person
G Zalíkoglou	Zalíkoglou, Grīgórios (1776-1827)	http://data.bnf.fr/ark:/12148/cb106658434#foaf:Person
Grīgórios Zalíkoglou	Zalíkoglou, Grīgórios (1776-1827)	http://data.bnf.fr/ark:/12148/cb106658434#foaf:Person
Zalíkoglou	Zalíkoglou, Grīgórios (1776-1827)	http://data.bnf.fr/ark:/12148/cb106658434#foaf:Person
